value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
168,0;77,17224;18,200214;10,550215;1;2023;176,7;76,29426;20,164501;12,100215;164,9;76,30585;22,207357;13,014501;167,2;77,41741;19,407358;12,450215;165,4;77,600945;23,3145;14,457357;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;179,6;135,6;173,7;164,30191;179,39275;194,31462;167,2131
179,6;81,58094;15,628786;9,9145;1;2023;168,0;77,17224;18,200214;10,550215;176,7;76,29426;20,164501;12,100215;164,9;76,30585;22,207357;13,014501;167,2;77,41741;19,407358;12,450215;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;135,6;173,7;209,2;172,53593;166,69896;218,86197;235,11649
135,6;86,92018;13,907357;9,385928;1;2023;179,6;81,58094;15,628786;9,9145;168,0;77,17224;18,200214;10,550215;176,7;76,29426;20,164501;12,100215;164,9;76,30585;22,207357;13,014501;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;173,7;209,2;206,9;158,14427;187,53012;254,11902;223,86722
173,7;84,014595;12,393072;8,385929;1;2023;135,6;86,92018;13,907357;9,385928;179,6;81,58094;15,628786;9,9145;168,0;77,17224;18,200214;10,550215;176,7;76,29426;20,164501;12,100215;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;209,2;206,9;252,5;166,09627;213,52066;277,31244;244,07607
209,2;87,18748;10,9645;6,085929;1;2023;173,7;84,014595;12,393072;8,385929;135,6;86,92018;13,907357;9,385928;179,6;81,58094;15,628786;9,9145;168,0;77,17224;18,200214;10,550215;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;206,9;252,5;276,3;182,42233;222,7372;241,03816;249,21606
206,9;88,751595;11,428786;6,8073573;1;2023;209,2;87,18748;10,9645;6,085929;173,7;84,014595;12,393072;8,385929;135,6;86,92018;13,907357;9,385928;179,6;81,58094;15,628786;9,9145;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;252,5;276,3;296,7;223,23102;326,0696;290,0763;226,93669
252,5;88,279366;8,793071;4,1359286;1;2023;206,9;88,751595;11,428786;6,8073573;209,2;87,18748;10,9645;6,085929;173,7;84,014595;12,393072;8,385929;135,6;86,92018;13,907357;9,385928;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;276,3;296,7;466,9;220,04485;290,5155;335,7862;271,19116
276,3;88,101006;3,4716427;-0,9997857;1;2023;252,5;88,279366;8,793071;4,1359286;206,9;88,751595;11,428786;6,8073573;209,2;87,18748;10,9645;6,085929;173,7;84,014595;12,393072;8,385929;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;296,7;466,9;533,4;293,72842;424,8583;507,67682;435,2036
296,7;86,343834;8,7287855;3,9859283;1;2023;276,3;88,101006;3,4716427;-0,9997857;252,5;88,279366;8,793071;4,1359286;206,9;88,751595;11,428786;6,8073573;209,2;87,18748;10,9645;6,085929;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;466,9;533,4;191,8;472,93036;515,65967;541,41547;435,1769
466,9;89,98573;8,321643;4,328786;1;2023;296,7;86,343834;8,7287855;3,9859283;276,3;88,101006;3,4716427;-0,9997857;252,5;88,279366;8,793071;4,1359286;206,9;88,751595;11,428786;6,8073573;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;533,4;191,8;264,1;413,74158;454,45364;467,82172;429,006
533,4;87,7154;10,507358;7,443072;1;2023;466,9;89,98573;8,321643;4,328786;296,7;86,343834;8,7287855;3,9859283;276,3;88,101006;3,4716427;-0,9997857;252,5;88,279366;8,793071;4,1359286;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;191,8;264,1;366,0;420,8174;429,7307;531,2088;450,0087
191,8;82,4;10,75825;6,4395;1;2023;533,4;87,7154;10,507358;7,443072;466,9;89,98573;8,321643;4,328786;296,7;86,343834;8,7287855;3,9859283;276,3;88,101006;3,4716427;-0,9997857;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;264,1;366,0;395,9;405,96323;435,63364;430,54355;415,7747
264,1;85,559204;7,157357;3,4287856;1;2024;191,8;82,4;10,75825;6,4395;533,4;87,7154;10,507358;7,443072;466,9;89,98573;8,321643;4,328786;296,7;86,343834;8,7287855;3,9859283;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;366,0;395,9;787,6;247,74513;233,33116;269,5877;397,98404
366,0;74,441895;1,5002143;-2,6497858;1;2024;264,1;85,559204;7,157357;3,4287856;191,8;82,4;10,75825;6,4395;533,4;87,7154;10,507358;7,443072;466,9;89,98573;8,321643;4,328786;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;395,9;787,6;732,3;270,0012;374,92764;399,99704;390,65546
395,9;84,57513;3,0145001;-2,2426429;1;2024;366,0;74,441895;1,5002143;-2,6497858;264,1;85,559204;7,157357;3,4287856;191,8;82,4;10,75825;6,4395;533,4;87,7154;10,507358;7,443072;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;787,6;732,3;701,2;488,7954;611,8649;623,83636;535,1872
787,6;82,87024;11,1645;3,371643;1;2024;395,9;84,57513;3,0145001;-2,2426429;366,0;74,441895;1,5002143;-2,6497858;264,1;85,559204;7,157357;3,4287856;191,8;82,4;10,75825;6,4395;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;732,3;701,2;350,4;629,2843;595,7369;493,13165;308,4414
