value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
11,9;70,265884;19,420214;11,141643;1;2023;10,2;64,445465;20,3345;10,563071;7,3;68,57185;24,870213;11,391643;9,3;67,88218;21,94164;12,1345;7,4;67,280846;26,205929;13,898787;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;13,8;14,0;14,9;10,706438;11,853497;12,790677;14,129097
13,8;80,25716;15,3845;5,7630715;1;2023;11,9;70,265884;19,420214;11,141643;10,2;64,445465;20,3345;10,563071;7,3;68,57185;24,870213;11,391643;9,3;67,88218;21,94164;12,1345;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;14,0;14,9;17,4;14,146564;14,226102;15,677408;16,386473
14,0;79,10542;15,713072;9,070214;1;2023;13,8;80,25716;15,3845;5,7630715;11,9;70,265884;19,420214;11,141643;10,2;64,445465;20,3345;10,563071;7,3;68,57185;24,870213;11,391643;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;14,9;17,4;12,4;14,078447;15,088887;15,236575;16,504288
14,9;77,64357;13,255929;7,3130717;1;2023;14,0;79,10542;15,713072;9,070214;13,8;80,25716;15,3845;5,7630715;11,9;70,265884;19,420214;11,141643;10,2;64,445465;20,3345;10,563071;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;17,4;12,4;22,5;14,309843;16,016293;14,704118;16,76915
17,4;75,69252;10,841643;3,5345;1;2023;14,9;77,64357;13,255929;7,3130717;14,0;79,10542;15,713072;9,070214;13,8;80,25716;15,3845;5,7630715;11,9;70,265884;19,420214;11,141643;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;12,4;22,5;27,7;15,947099;16,2233;16,370588;18,331722
12,4;81,31222;10,005929;4,841643;1;2023;17,4;75,69252;10,841643;3,5345;14,9;77,64357;13,255929;7,3130717;14,0;79,10542;15,713072;9,070214;13,8;80,25716;15,3845;5,7630715;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;22,5;27,7;36,7;17,322788;16,97316;17,40716;19,169655
22,5;78,818184;5,2630715;0,3559286;1;2023;12,4;81,31222;10,005929;4,841643;17,4;75,69252;10,841643;3,5345;14,9;77,64357;13,255929;7,3130717;14,0;79,10542;15,713072;9,070214;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;27,7;36,7;41,7;14,563987;15,956568;20,697803;32,525482
27,7;88,49458;-0,45121425;-5,0583572;1;2023;22,5;78,818184;5,2630715;0,3559286;12,4;81,31222;10,005929;4,841643;17,4;75,69252;10,841643;3,5345;14,9;77,64357;13,255929;7,3130717;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;36,7;41,7;42,2;24,777925;32,84831;30,649176;51,84397
36,7;91,00765;3,0487857;-2,5440712;1;2023;27,7;88,49458;-0,45121425;-5,0583572;22,5;78,818184;5,2630715;0,3559286;12,4;81,31222;10,005929;4,841643;17,4;75,69252;10,841643;3,5345;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;41,7;42,2;29,3;36,89675;81,40369;143,87888;131,25374
41,7;85,301;7,6273575;2,8559287;1;2023;36,7;91,00765;3,0487857;-2,5440712;27,7;88,49458;-0,45121425;-5,0583572;22,5;78,818184;5,2630715;0,3559286;12,4;81,31222;10,005929;4,841643;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;42,2;29,3;40,3;64,73956;94,10982;110,12759;120,577484
42,2;77,296555;7,705929;4,341643;1;2023;41,7;85,301;7,6273575;2,8559287;36,7;91,00765;3,0487857;-2,5440712;27,7;88,49458;-0,45121425;-5,0583572;22,5;78,818184;5,2630715;0,3559286;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;29,3;40,3;43,5;54,815117;89,62166;74,20931;74,248856
29,3;77,2977;9,3845005;3,7595;1;2023;42,2;77,296555;7,705929;4,341643;41,7;85,301;7,6273575;2,8559287;36,7;91,00765;3,0487857;-2,5440712;27,7;88,49458;-0,45121425;-5,0583572;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;40,3;43,5;68,4;58,030132;64,04527;69,67325;60,961178
40,3;83,660835;4,8773575;0,81307137;1;2024;29,3;77,2977;9,3845005;3,7595;42,2;77,296555;7,705929;4,341643;41,7;85,301;7,6273575;2,8559287;36,7;91,00765;3,0487857;-2,5440712;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;43,5;68,4;108,8;26,410206;21,800915;52,109413;83,14619
43,5;71,078926;0,3202143;-5,108357;1;2024;40,3;83,660835;4,8773575;0,81307137;29,3;77,2977;9,3845005;3,7595;42,2;77,296555;7,705929;4,341643;41,7;85,301;7,6273575;2,8559287;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;68,4;108,8;176,9;50,668938;118,38747;154,50012;159,3388
68,4;74,04038;3,7130716;-4,0940714;1;2024;43,5;71,078926;0,3202143;-5,108357;40,3;83,660835;4,8773575;0,81307137;29,3;77,2977;9,3845005;3,7595;42,2;77,296555;7,705929;4,341643;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;108,8;176,9;182,7;79,09119;149,34969;208,48567;210,36984
108,8;76,18722;8,070214;-0,15835722;1;2024;68,4;74,04038;3,7130716;-4,0940714;43,5;71,078926;0,3202143;-5,108357;40,3;83,660835;4,8773575;0,81307137;29,3;77,2977;9,3845005;3,7595;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;176,9;182,7;152,2;81,19123;105,05095;129,59799;140,15804
176,9;82,84702;7,5773573;2,7416427;1;2024;108,8;76,18722;8,070214;-0,15835722;68,4;74,04038;3,7130716;-4,0940714;43,5;71,078926;0,3202143;-5,108357;40,3;83,660835;4,8773575;0,81307137;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;182,7;152,2;103,4;130,02422;133,98984;138,56093;133,07048
182,7;83,26222;10,477358;4,5344996;1;2024;176,9;82,84702;7,5773573;2,7416427;108,8;76,18722;8,070214;-0,15835722;68,4;74,04038;3,7130716;-4,0940714;43,5;71,078926;0,3202143;-5,108357;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;152,2;103,4;71,4;148,56473;118,63217;93,374886;77,05536
152,2;82,16686;11,370214;3,827357;1;2024;182,7;83,26222;10,477358;4,5344996;176,9;82,84702;7,5773573;2,7416427;108,8;76,18722;8,070214;-0,15835722;68,4;74,04038;3,7130716;-4,0940714;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;103,4;71,4;46,1;164,14064;90,709785;64,49605;50,316936
103,4;77,74081;10,077357;3,277357;1;2024;152,2;82,16686;11,370214;3,827357;182,7;83,26222;10,477358;4,5344996;176,9;82,84702;7,5773573;2,7416427;108,8;76,18722;8,070214;-0,15835722;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;71,4;46,1;33,5;101,413185;70,22183;47,82531;26,116922
71,4;87,63831;11,463072;2,4773571;1;2024;103,4;77,74081;10,077357;3,277357;152,2;82,16686;11,370214;3,827357;182,7;83,26222;10,477358;4,5344996;176,9;82,84702;7,5773573;2,7416427;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;46,1;33,5;24,9;68,50904;52,116405;35,17675;19,524122
46,1;79,88826;10,363072;1,977357;1;2024;71,4;87,63831;11,463072;2,4773571;103,4;77,74081;10,077357;3,277357;152,2;82,16686;11,370214;3,827357;182,7;83,26222;10,477358;4,5344996;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;33,5;24,9;17,2;44,866394;28,232191;18,591007;12,859566
33,5;75,76823;12,691643;3,541643;1;2024;46,1;79,88826;10,363072;1,977357;71,4;87,63831;11,463072;2,4773571;103,4;77,74081;10,077357;3,277357;152,2;82,16686;11,370214;3,827357;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;24,9;17,2;17,7;31,40414;17,938679;13,027434;12,525131
24,9;72,85533;12,570214;1,7702142;1;2024;33,5;75,76823;12,691643;3,541643;46,1;79,88826;10,363072;1,977357;71,4;87,63831;11,463072;2,4773571;103,4;77,74081;10,077357;3,277357;1,0;6,123233995736766e-17;0,992708874098054;0,120536680255323;17,2;17,7;14,9;21,847881;16,474068;13,810989;12,306626
17,2;60,43842;19,477356;6,0487857;1;2024;24,9;72,85533;12,570214;1,7702142;33,5;75,76823;12,691643;3,541643;46,1;79,88826;10,363072;1,977357;71,4;87,63831;11,463072;2,4773571;1,0;6,123233995736766e-17;1,0;-1,6081226496766366e-16;17,7;14,9;14,5;18,686798;14,254917;11,136666;12,907663
17,7;64,664604;21,070215;9,648787;1;2024;17,2;60,43842;19,477356;6,0487857;24,9;72,85533;12,570214;1,7702142;33,5;75,76823;12,691643;3,541643;46,1;79,88826;10,363072;1,977357;0,8660254037844387;-0,4999999999999998;0,992708874098054;-0,12053668025532288;14,9;14,5;11,2;13,927719;12,626805;10,282063;12,683292
