value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
198,3;79,180916;10,9728565;6,0942855;1;2023;170,8;80,50189;11,572858;7,194286;188,9;82,656235;17,665714;12,358572;193,2;83,767235;19,151428;12,415715;185,5;82,88267;17,537142;11,715714;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;145,1;194,8;220,6;193,38486;210,8299;193,08847;200,49431
145,1;77,90788;5,43;2,0942857;1;2023;198,3;79,180916;10,9728565;6,0942855;170,8;80,50189;11,572858;7,194286;188,9;82,656235;17,665714;12,358572;193,2;83,767235;19,151428;12,415715;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;194,8;220,6;295,3;199,89154;227,09248;190,43315;217,61292
194,8;80,34454;2,4228573;-0,9485714;1;2023;145,1;77,90788;5,43;2,0942857;198,3;79,180916;10,9728565;6,0942855;170,8;80,50189;11,572858;7,194286;188,9;82,656235;17,665714;12,358572;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;220,6;295,3;309,0;182,3128;146,6244;194,2468;192,67464
220,6;88,45571;8,208571;3,6800003;1;2023;194,8;80,34454;2,4228573;-0,9485714;145,1;77,90788;5,43;2,0942857;198,3;79,180916;10,9728565;6,0942855;170,8;80,50189;11,572858;7,194286;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;295,3;309,0;300,4;180,66858;190,81496;168,1984;184,58333
295,3;97,0066;6,6514287;3,7585714;1;2023;220,6;88,45571;8,208571;3,6800003;194,8;80,34454;2,4228573;-0,9485714;145,1;77,90788;5,43;2,0942857;198,3;79,180916;10,9728565;6,0942855;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;309,0;300,4;345,1;226,7068;194,4879;187,68068;185,653
309,0;85,60587;0,3228571;-2,5271428;1;2023;295,3;97,0066;6,6514287;3,7585714;220,6;88,45571;8,208571;3,6800003;194,8;80,34454;2,4228573;-0,9485714;145,1;77,90788;5,43;2,0942857;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;300,4;345,1;339,9;244,9081;280,4863;287,38852;326,2178
300,4;85,78447;-1,0199999;-7,062857;1;2023;309,0;85,60587;0,3228571;-2,5271428;295,3;97,0066;6,6514287;3,7585714;220,6;88,45571;8,208571;3,6800003;194,8;80,34454;2,4228573;-0,9485714;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;345,1;339,9;395,7;290,8573;365,1529;398,53665;440,9857
345,1;88,26813;-2,4271429;-5,577143;1;2023;300,4;85,78447;-1,0199999;-7,062857;309,0;85,60587;0,3228571;-2,5271428;295,3;97,0066;6,6514287;3,7585714;220,6;88,45571;8,208571;3,6800003;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;339,9;395,7;325,3;309,7748;407,97943;477,61246;487,68814
339,9;87,63959;-6,6914287;-10,841429;1;2023;345,1;88,26813;-2,4271429;-5,577143;300,4;85,78447;-1,0199999;-7,062857;309,0;85,60587;0,3228571;-2,5271428;295,3;97,0066;6,6514287;3,7585714;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;395,7;325,3;306,4;463,65417;484,65628;491,12106;470,9737
395,7;91,60234;0,5228571;-2,7342856;1;2023;339,9;87,63959;-6,6914287;-10,841429;345,1;88,26813;-2,4271429;-5,577143;300,4;85,78447;-1,0199999;-7,062857;309,0;85,60587;0,3228571;-2,5271428;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;325,3;306,4;352,8;428,5194;467,65656;451,03143;459,49677
325,3;91,6759;1,3228571;-1,5699999;1;2023;395,7;91,60234;0,5228571;-2,7342856;339,9;87,63959;-6,6914287;-10,841429;345,1;88,26813;-2,4271429;-5,577143;300,4;85,78447;-1,0199999;-7,062857;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;306,4;352,8;312,4;484,07724;454,29233;426,14066;405,7474
306,4;91,28304;-0,62624997;-4,77;1;2023;325,3;91,6759;1,3228571;-1,5699999;395,7;91,60234;0,5228571;-2,7342856;339,9;87,63959;-6,6914287;-10,841429;345,1;88,26813;-2,4271429;-5,577143;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;352,8;312,4;295,3;406,68628;395,26715;383,8156;450,14767
352,8;78,73084;-11,055715;-16,612858;1;2024;306,4;91,28304;-0,62624997;-4,77;325,3;91,6759;1,3228571;-1,5699999;395,7;91,60234;0,5228571;-2,7342856;339,9;87,63959;-6,6914287;-10,841429;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;312,4;295,3;288,4;320,43683;384,5027;429,78513;463,83252
312,4;86,31749;-2,8271427;-7,8414283;1;2024;352,8;78,73084;-11,055715;-16,612858;306,4;91,28304;-0,62624997;-4,77;325,3;91,6759;1,3228571;-1,5699999;395,7;91,60234;0,5228571;-2,7342856;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;295,3;288,4;318,4;469,0163;478,7611;471,1547;452,52652
295,3;84,07478;-3,8771427;-12,105714;1;2024;312,4;86,31749;-2,8271427;-7,8414283;352,8;78,73084;-11,055715;-16,612858;306,4;91,28304;-0,62624997;-4,77;325,3;91,6759;1,3228571;-1,5699999;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;288,4;318,4;293,6;309,48993;463,03607;490,86432;423,08292
288,4;91,71452;0,91571426;-1,9271429;1;2024;295,3;84,07478;-3,8771427;-12,105714;312,4;86,31749;-2,8271427;-7,8414283;352,8;78,73084;-11,055715;-16,612858;306,4;91,28304;-0,62624997;-4,77;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;318,4;293,6;289,3;338,38892;438,52945;421,84204;391,4128
318,4;87,40913;1,4799999;-0,8128571;1;2024;288,4;91,71452;0,91571426;-1,9271429;295,3;84,07478;-3,8771427;-12,105714;312,4;86,31749;-2,8271427;-7,8414283;352,8;78,73084;-11,055715;-16,612858;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;293,6;289,3;302,1;322,52356;386,45795;363,20508;351,40506
293,6;81,30206;-5,977143;-10,798571;1;2024;318,4;87,40913;1,4799999;-0,8128571;288,4;91,71452;0,91571426;-1,9271429;295,3;84,07478;-3,8771427;-12,105714;312,4;86,31749;-2,8271427;-7,8414283;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;289,3;302,1;271,2;290,03488;297,60715;336,201;363,35648
289,3;89,466774;1,637143;-3,3700001;1;2024;293,6;81,30206;-5,977143;-10,798571;318,4;87,40913;1,4799999;-0,8128571;288,4;91,71452;0,91571426;-1,9271429;295,3;84,07478;-3,8771427;-12,105714;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;302,1;271,2;231,8;302,22763;341,43793;329,2236;262,55792
