value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
397,7;57,78329;23,940716;12,426429;1;2023;502,1;50,728107;29,397858;13,919287;668,7;55,447353;29,140715;13,640715;581,9;68,052414;22,583572;11,055;424,4;71,60368;23,333572;14,826429;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;457,5;472,2;434,4;550,81836;661,78015;625,3884;595,41003
457,5;77,82338;18,047857;10,733572;1;2023;397,7;57,78329;23,940716;12,426429;502,1;50,728107;29,397858;13,919287;668,7;55,447353;29,140715;13,640715;581,9;68,052414;22,583572;11,055;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;472,2;434,4;558,1;524,26074;689,3382;670,3541;687,4568
472,2;83,76123;15,840714;10,683572;1;2023;457,5;77,82338;18,047857;10,733572;397,7;57,78329;23,940716;12,426429;502,1;50,728107;29,397858;13,919287;668,7;55,447353;29,140715;13,640715;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;434,4;558,1;572,0;565,7966;681,7909;755,8778;858,96576
434,4;81,48737;13,762144;6,912143;1;2023;472,2;83,76123;15,840714;10,683572;457,5;77,82338;18,047857;10,733572;397,7;57,78329;23,940716;12,426429;502,1;50,728107;29,397858;13,919287;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;558,1;572,0;614,4;584,95447;681,7909;740,63947;854,3667
558,1;81,47418;15,383571;8,226428;1;2023;434,4;81,48737;13,762144;6,912143;472,2;83,76123;15,840714;10,683572;457,5;77,82338;18,047857;10,733572;397,7;57,78329;23,940716;12,426429;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;572,0;614,4;680,7;599,1168;820,4574;873,06213;904,9421
572,0;89,25027;16,662144;7,819286;1;2023;558,1;81,47418;15,383571;8,226428;434,4;81,48737;13,762144;6,912143;472,2;83,76123;15,840714;10,683572;457,5;77,82338;18,047857;10,733572;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;614,4;680,7;544,0;678,52954;820,9873;862,5186;852,989
614,4;72,05292;14,140715;3,097857;1;2023;572,0;89,25027;16,662144;7,819286;558,1;81,47418;15,383571;8,226428;434,4;81,48737;13,762144;6,912143;472,2;83,76123;15,840714;10,683572;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;680,7;544,0;809,7;669,88367;806,33014;796,2239;828,0022
680,7;84,35616;12,226428;6,105;1;2023;614,4;72,05292;14,140715;3,097857;572,0;89,25027;16,662144;7,819286;558,1;81,47418;15,383571;8,226428;434,4;81,48737;13,762144;6,912143;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;544,0;809,7;915,4;673,9126;846,45276;877,1156;870,58685
544,0;84,8806;10,962143;4,862143;1;2023;680,7;84,35616;12,226428;6,105;614,4;72,05292;14,140715;3,097857;572,0;89,25027;16,662144;7,819286;558,1;81,47418;15,383571;8,226428;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;809,7;915,4;958,4;875,0845;962,1888;1011,90076;968,0509
809,7;80,4218;11,526428;2,3121428;1;2023;544,0;84,8806;10,962143;4,862143;680,7;84,35616;12,226428;6,105;614,4;72,05292;14,140715;3,097857;572,0;89,25027;16,662144;7,819286;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;915,4;958,4;916,1;727,87585;937,0758;1062,9509;1363,2529
915,4;78,934166;11,390715;-0,68785715;1;2023;809,7;80,4218;11,526428;2,3121428;544,0;84,8806;10,962143;4,862143;680,7;84,35616;12,226428;6,105;614,4;72,05292;14,140715;3,097857;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;958,4;916,1;941,8;942,0576;1254,6248;1525,0793;1448,2222
958,4;85,04334;8,9925;0,9175;1;2023;915,4;78,934166;11,390715;-0,68785715;809,7;80,4218;11,526428;2,3121428;544,0;84,8806;10,962143;4,862143;680,7;84,35616;12,226428;6,105;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;916,1;941,8;727,7;962,6328;1045,0171;1046,2123;1032,8486
916,1;83,50319;9,069285;3,0692859;1;2024;958,4;85,04334;8,9925;0,9175;915,4;78,934166;11,390715;-0,68785715;809,7;80,4218;11,526428;2,3121428;544,0;84,8806;10,962143;4,862143;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;941,8;727,7;603,7;1006,4175;1048,7181;1023,74445;1179,7512
941,8;83,01397;9,1050005;2,0407145;1;2024;916,1;83,50319;9,069285;3,0692859;958,4;85,04334;8,9925;0,9175;915,4;78,934166;11,390715;-0,68785715;809,7;80,4218;11,526428;2,3121428;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;727,7;603,7;564,0;992,368;1279,8268;1179,6389;1545,8223
727,7;85,92663;11,905001;5,2335715;1;2024;941,8;83,01397;9,1050005;2,0407145;916,1;83,50319;9,069285;3,0692859;958,4;85,04334;8,9925;0,9175;915,4;78,934166;11,390715;-0,68785715;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;603,7;564,0;573,4;935,85583;1056,9763;1345,6283;1280,3926
603,7;82,70973;15,947858;3,7335715;1;2024;727,7;85,92663;11,905001;5,2335715;941,8;83,01397;9,1050005;2,0407145;916,1;83,50319;9,069285;3,0692859;958,4;85,04334;8,9925;0,9175;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;564,0;573,4;561,6;882,05444;973,41675;942,938;987,17224
