value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
192,7;68,45549;20,63857;11,102858;1;2023;221,3;75,34098;22,274286;10,117143;239,1;77,422585;23,88857;12,688571;214,5;77,27889;20,302856;11,781428;166,8;81,73372;23,417143;15,181429;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;187,6;160,2;165,5;205,11198;220,52477;239,5248;231,06009
187,6;80,53648;16,874287;10,181429;1;2023;192,7;68,45549;20,63857;11,102858;221,3;75,34098;22,274286;10,117143;239,1;77,422585;23,88857;12,688571;214,5;77,27889;20,302856;11,781428;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;160,2;165,5;228,8;172,18481;161,21545;169,66484;197,55853
160,2;85,74671;15,217143;10,774285;1;2023;187,6;80,53648;16,874287;10,181429;192,7;68,45549;20,63857;11,102858;221,3;75,34098;22,274286;10,117143;239,1;77,422585;23,88857;12,688571;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;165,5;228,8;260,0;184,21352;168,90237;171,29979;197,21625
165,5;81,78468;13,495714;8,51;1;2023;160,2;85,74671;15,217143;10,774285;187,6;80,53648;16,874287;10,181429;192,7;68,45549;20,63857;11,102858;221,3;75,34098;22,274286;10,117143;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;228,8;260,0;342,9;166,6266;167,64523;197,86513;232,08603
228,8;84,71136;13,074286;7,3671427;1;2023;165,5;81,78468;13,495714;8,51;160,2;85,74671;15,217143;10,774285;187,6;80,53648;16,874287;10,181429;192,7;68,45549;20,63857;11,102858;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;260,0;342,9;376,8;179,07742;168,55855;201,17244;236,60875
260,0;87,25402;13,017143;8,938571;1;2023;228,8;84,71136;13,074286;7,3671427;165,5;81,78468;13,495714;8,51;160,2;85,74671;15,217143;10,774285;187,6;80,53648;16,874287;10,181429;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;342,9;376,8;437,0;224,69788;210,53583;224,93178;301,36664
342,9;83,451004;10,095714;4,217143;1;2023;260,0;87,25402;13,017143;8,938571;228,8;84,71136;13,074286;7,3671427;165,5;81,78468;13,495714;8,51;160,2;85,74671;15,217143;10,774285;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;376,8;437,0;428,4;223,47589;233,05;266,34277;295,27206
376,8;84,056046;6,088572;-0,14;1;2023;342,9;83,451004;10,095714;4,217143;260,0;87,25402;13,017143;8,938571;228,8;84,71136;13,074286;7,3671427;165,5;81,78468;13,495714;8,51;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;437,0;428,4;428,5;322,24857;350,07474;352,48834;257,45032
437,0;88,07415;10,467143;5,4742856;1;2023;376,8;84,056046;6,088572;-0,14;342,9;83,451004;10,095714;4,217143;260,0;87,25402;13,017143;8,938571;228,8;84,71136;13,074286;7,3671427;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;428,4;428,5;312,1;390,04883;353,54865;304,38153;237,13489
428,4;89,699905;8,86;4,345714;1;2023;437,0;88,07415;10,467143;5,4742856;376,8;84,056046;6,088572;-0,14;342,9;83,451004;10,095714;4,217143;260,0;87,25402;13,017143;8,938571;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;428,5;312,1;315,5;382,88873;330,29443;275,35294;219,37447
428,5;84,79729;11,238571;7,86;1;2023;428,4;89,699905;8,86;4,345714;437,0;88,07415;10,467143;5,4742856;376,8;84,056046;6,088572;-0,14;342,9;83,451004;10,095714;4,217143;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;312,1;315,5;339,0;373,9949;284,7818;237,85786;187,51263
312,1;81,97293;11,60375;7,75375;1;2023;428,5;84,79729;11,238571;7,86;428,4;89,699905;8,86;4,345714;437,0;88,07415;10,467143;5,4742856;376,8;84,056046;6,088572;-0,14;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;315,5;339,0;395,6;363,08746;284,69357;255,50749;227,50677
315,5;84,34603;7,96;4,267143;1;2024;312,1;81,97293;11,60375;7,75375;428,5;84,79729;11,238571;7,86;428,4;89,699905;8,86;4,345714;437,0;88,07415;10,467143;5,4742856;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;339,0;395,6;474,8;293,69315;270,13913;220,75679;187,85574
339,0;77,87565;1,4099998;-2,8257143;1;2024;315,5;84,34603;7,96;4,267143;312,1;81,97293;11,60375;7,75375;428,5;84,79729;11,238571;7,86;428,4;89,699905;8,86;4,345714;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;395,6;474,8;457,5;298,77567;282,27692;261,29074;237,10216
395,6;83,82638;5,845714;-1,6685715;1;2024;339,0;77,87565;1,4099998;-2,8257143;315,5;84,34603;7,96;4,267143;312,1;81,97293;11,60375;7,75375;428,5;84,79729;11,238571;7,86;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;474,8;457,5;401,7;328,23413;328,96515;281,2533;232,8666
474,8;85,288734;11,624286;4,4885716;1;2024;395,6;83,82638;5,845714;-1,6685715;339,0;77,87565;1,4099998;-2,8257143;315,5;84,34603;7,96;4,267143;312,1;81,97293;11,60375;7,75375;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;457,5;401,7;299,1;388,67172;319,15735;243,63916;180,4468
457,5;86,994385;10,824286;5,824286;1;2024;474,8;85,288734;11,624286;4,4885716;395,6;83,82638;5,845714;-1,6685715;339,0;77,87565;1,4099998;-2,8257143;315,5;84,34603;7,96;4,267143;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;401,7;299,1;241,3;371,06348;294,6678;192,64;172,92667
401,7;85,913246;11,902857;7,6814284;1;2024;457,5;86,994385;10,824286;5,824286;474,8;85,288734;11,624286;4,4885716;395,6;83,82638;5,845714;-1,6685715;339,0;77,87565;1,4099998;-2,8257143;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;299,1;241,3;177,5;363,18524;264,82104;191,12099;173,5848
