value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
88,9;68,45549;20,63857;11,102858;1;2023;105,0;75,34098;22,274286;10,117143;109,7;77,422585;23,88857;12,688571;96,3;77,27889;20,302856;11,781428;74,8;81,73372;23,417143;15,181429;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;86,6;68,5;76,1;92,85319;87,295006;107,051414;76,23806
86,6;80,53648;16,874287;10,181429;1;2023;88,9;68,45549;20,63857;11,102858;105,0;75,34098;22,274286;10,117143;109,7;77,422585;23,88857;12,688571;96,3;77,27889;20,302856;11,781428;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;68,5;76,1;109,7;83,74435;70,48521;73,93421;77,228516
68,5;85,74671;15,217143;10,774285;1;2023;86,6;80,53648;16,874287;10,181429;88,9;68,45549;20,63857;11,102858;105,0;75,34098;22,274286;10,117143;109,7;77,422585;23,88857;12,688571;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;76,1;109,7;127,8;87,45296;76,145805;74,811615;79,13758
76,1;81,78468;13,495714;8,51;1;2023;68,5;85,74671;15,217143;10,774285;86,6;80,53648;16,874287;10,181429;88,9;68,45549;20,63857;11,102858;105,0;75,34098;22,274286;10,117143;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;109,7;127,8;169,1;64,04374;76,21435;89,0459;111,83078
109,7;84,71136;13,074286;7,3671427;1;2023;76,1;81,78468;13,495714;8,51;68,5;85,74671;15,217143;10,774285;86,6;80,53648;16,874287;10,181429;88,9;68,45549;20,63857;11,102858;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;127,8;169,1;189,3;75,76973;82,40656;105,7448;141,7118
127,8;87,25402;13,017143;8,938571;1;2023;109,7;84,71136;13,074286;7,3671427;76,1;81,78468;13,495714;8,51;68,5;85,74671;15,217143;10,774285;86,6;80,53648;16,874287;10,181429;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;169,1;189,3;224,8;101,70032;120,59786;163,65337;176,89731
169,1;83,451004;10,095714;4,217143;1;2023;127,8;87,25402;13,017143;8,938571;109,7;84,71136;13,074286;7,3671427;76,1;81,78468;13,495714;8,51;68,5;85,74671;15,217143;10,774285;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;189,3;224,8;225,5;136,48135;199,25958;168,4733;218,04083
189,3;84,056046;6,088572;-0,14;1;2023;169,1;83,451004;10,095714;4,217143;127,8;87,25402;13,017143;8,938571;109,7;84,71136;13,074286;7,3671427;76,1;81,78468;13,495714;8,51;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;224,8;225,5;226,7;183,52777;207,44316;335,2943;201,31114
224,8;88,07415;10,467143;5,4742856;1;2023;189,3;84,056046;6,088572;-0,14;169,1;83,451004;10,095714;4,217143;127,8;87,25402;13,017143;8,938571;109,7;84,71136;13,074286;7,3671427;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;225,5;226,7;175,9;262,5377;244,42886;180,03725;156,57779
225,5;89,699905;8,86;4,345714;1;2023;224,8;88,07415;10,467143;5,4742856;189,3;84,056046;6,088572;-0,14;169,1;83,451004;10,095714;4,217143;127,8;87,25402;13,017143;8,938571;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;226,7;175,9;183,4;197,02353;174,51492;178,78653;170,2656
226,7;84,79729;11,238571;7,86;1;2023;225,5;89,699905;8,86;4,345714;224,8;88,07415;10,467143;5,4742856;189,3;84,056046;6,088572;-0,14;169,1;83,451004;10,095714;4,217143;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;175,9;183,4;196,6;218,2376;158,81361;157,7988;150,2793
175,9;81,97293;11,60375;7,75375;1;2023;226,7;84,79729;11,238571;7,86;225,5;89,699905;8,86;4,345714;224,8;88,07415;10,467143;5,4742856;189,3;84,056046;6,088572;-0,14;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;183,4;196,6;248,3;182,30559;124,547966;112,94803;136,12177
