value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0,2;80,62043;21,049072;10,541928;1;2023;0,2;72,08152;21,999071;11,477643;0,4;76,05491;23,8705;16,1205;0,1;75,4387;25,8705;16,377644;0,6;70,180595;26,063358;16,184786;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;0,2;0,3;0,2;0,05215205;0,14301062;0,10237754;0,021287667
0,2;79,69725;19,563356;10,4205;1;2023;0,2;80,62043;21,049072;10,541928;0,2;72,08152;21,999071;11,477643;0,4;76,05491;23,8705;16,1205;0,1;75,4387;25,8705;16,377644;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;0,3;0,2;0,2;0,032641526;0,14301062;0,14217457;0,021287667
0,3;82,03893;19,884787;11,934786;1;2023;0,2;79,69725;19,563356;10,4205;0,2;80,62043;21,049072;10,541928;0,2;72,08152;21,999071;11,477643;0,4;76,05491;23,8705;16,1205;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;0,2;0,2;0,2;0,032641526;0,14301062;0,14217457;0,021287667
0,2;79,027336;17,084787;8,8419285;1;2023;0,3;82,03893;19,884787;11,934786;0,2;79,69725;19,563356;10,4205;0,2;80,62043;21,049072;10,541928;0,2;72,08152;21,999071;11,477643;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;0,2;0,2;0,3;0,032641526;0,15889789;0,10237754;0,08412473
0,2;86,379875;12,141929;4,8347855;1;2023;0,2;79,027336;17,084787;8,8419285;0,3;82,03893;19,884787;11,934786;0,2;79,69725;19,563356;10,4205;0,2;80,62043;21,049072;10,541928;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;0,2;0,3;0,4;0,045147344;0,27743134;0,14217457;0,38061842
0,2;82,070206;12,791929;4,434786;1;2023;0,2;86,379875;12,141929;4,8347855;0,2;79,027336;17,084787;8,8419285;0,3;82,03893;19,884787;11,934786;0,2;79,69725;19,563356;10,4205;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;0,3;0,4;0,9;0,032641526;0,27743134;0,114669405;0,57008916
0,3;80,16622;7,849071;-0,09378566;1;2023;0,2;82,070206;12,791929;4,434786;0,2;86,379875;12,141929;4,8347855;0,2;79,027336;17,084787;8,8419285;0,3;82,03893;19,884787;11,934786;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;0,4;0,9;2,7;0,013558841;0,052089565;0,114669405;0,68021506
0,4;86,94684;5,5133567;-0,058071442;1;2023;0,3;80,16622;7,849071;-0,09378566;0,2;82,070206;12,791929;4,434786;0,2;86,379875;12,141929;4,8347855;0,2;79,027336;17,084787;8,8419285;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;0,9;2,7;8,0;0,16673674;1,0115614;3,6157215;11,854468
0,9;89,41881;4,7633567;-1,1652143;1;2023;0,4;86,94684;5,5133567;-0,058071442;0,3;80,16622;7,849071;-0,09378566;0,2;82,070206;12,791929;4,434786;0,2;86,379875;12,141929;4,8347855;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;2,7;8,0;10,6;2,2126513;8,570983;23,339075;29,246653
2,7;89,30334;8,506214;1,9490713;1;2023;0,9;89,41881;4,7633567;-1,1652143;0,4;86,94684;5,5133567;-0,058071442;0,3;80,16622;7,849071;-0,09378566;0,2;82,070206;12,791929;4,434786;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;8,0;10,6;18,3;5,0808353;23,00123;43,363636;74,42497
