value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
1964,7;76,96898;20,033998;9,948286;1;2023;1696,2;66,18071;21,026855;9,569715;1201,6;81,31739;21,298285;12,762572;1257,3;70,272766;16,512571;9,812572;1234,4;69,21005;21,019714;10,426857;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;1746,9;1295,8;1678,4;1599,096;2203,851;2371,985;1597,0908
1746,9;82,33836;18,74114;10,7982855;1;2023;1964,7;76,96898;20,033998;9,948286;1696,2;66,18071;21,026855;9,569715;1201,6;81,31739;21,298285;12,762572;1257,3;70,272766;16,512571;9,812572;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;1295,8;1678,4;1971,4;1736,1777;2036,9977;2183,819;2017,2726
1295,8;77,56312;15,855428;7,6268573;1;2023;1746,9;82,33836;18,74114;10,7982855;1964,7;76,96898;20,033998;9,948286;1696,2;66,18071;21,026855;9,569715;1201,6;81,31739;21,298285;12,762572;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;1678,4;1971,4;2337,6;1660,3333;2100,5312;2336,754;2679,278
1678,4;81,950424;10,7982855;4,0625715;1;2023;1295,8;77,56312;15,855428;7,6268573;1746,9;82,33836;18,74114;10,7982855;1964,7;76,96898;20,033998;9,948286;1696,2;66,18071;21,026855;9,569715;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;1971,4;2337,6;2577,5;1699,5289;2144,3628;2202,6106;2256,2192
1971,4;80,22887;10,655428;4,098286;1;2023;1678,4;81,950424;10,7982855;4,0625715;1295,8;77,56312;15,855428;7,6268573;1746,9;82,33836;18,74114;10,7982855;1964,7;76,96898;20,033998;9,948286;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;2337,6;2577,5;2710,3;1714,9292;2194,715;2276,7273;2661,7744
2337,6;80,83712;6,7482862;-0,30885717;1;2023;1971,4;80,22887;10,655428;4,098286;1678,4;81,950424;10,7982855;4,0625715;1295,8;77,56312;15,855428;7,6268573;1746,9;82,33836;18,74114;10,7982855;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;2577,5;2710,3;3050,9;1773,2844;2331,4358;2440,9758;2677,3472
2577,5;86,13961;2,8554287;-2,116;1;2023;2337,6;80,83712;6,7482862;-0,30885717;1971,4;80,22887;10,655428;4,098286;1678,4;81,950424;10,7982855;4,0625715;1295,8;77,56312;15,855428;7,6268573;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;2710,3;3050,9;2516,7;2212,453;2424,6838;2301,3704;2419,9294
2710,3;91,66205;1,6911428;-2,066;1;2023;2577,5;86,13961;2,8554287;-2,116;2337,6;80,83712;6,7482862;-0,30885717;1971,4;80,22887;10,655428;4,098286;1678,4;81,950424;10,7982855;4,0625715;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;3050,9;2516,7;1573,1;2513,0168;2539,3574;2331,5752;2473,964
3050,9;90,61055;7,091143;-0,34457144;1;2023;2710,3;91,66205;1,6911428;-2,066;2577,5;86,13961;2,8554287;-2,116;2337,6;80,83712;6,7482862;-0,30885717;1971,4;80,22887;10,655428;4,098286;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;2516,7;1573,1;1821,1;2531,9817;2072,0793;1754,2498;1777,0183
2516,7;87,08958;6,505429;0,59828573;1;2023;3050,9;90,61055;7,091143;-0,34457144;2710,3;91,66205;1,6911428;-2,066;2577,5;86,13961;2,8554287;-2,116;2337,6;80,83712;6,7482862;-0,30885717;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;1573,1;1821,1;2035,7;2293,7134;1669,24;1823,3474;1998,5514
