value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
139,8;76,96898;20,033998;9,948286;1;2023;120,7;66,18071;21,026855;9,569715;46,4;81,31739;21,298285;12,762572;57,7;70,272766;16,512571;9,812572;64,5;69,21005;21,019714;10,426857;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;153,0;140,2;110,8;143,93057;161,56186;152,9464;130,63991
153,0;74,76332;18,905428;9,076857;1;2023;139,8;76,96898;20,033998;9,948286;120,7;66,18071;21,026855;9,569715;46,4;81,31739;21,298285;12,762572;57,7;70,272766;16,512571;9,812572;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;140,2;110,8;160,2;154,83813;171,494;158,2022;154,22058
140,2;82,33836;18,74114;10,7982855;1;2023;153,0;74,76332;18,905428;9,076857;139,8;76,96898;20,033998;9,948286;120,7;66,18071;21,026855;9,569715;46,4;81,31739;21,298285;12,762572;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;110,8;160,2;195,3;148,52641;162,11836;158,9068;179,89656
110,8;77,56312;15,855428;7,6268573;1;2023;140,2;82,33836;18,74114;10,7982855;153,0;74,76332;18,905428;9,076857;139,8;76,96898;20,033998;9,948286;120,7;66,18071;21,026855;9,569715;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;160,2;195,3;237,7;137,5253;184,49678;182,08794;188,10002
160,2;81,950424;10,7982855;4,0625715;1;2023;110,8;77,56312;15,855428;7,6268573;140,2;82,33836;18,74114;10,7982855;153,0;74,76332;18,905428;9,076857;139,8;76,96898;20,033998;9,948286;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;195,3;237,7;298,6;126,50091;185,76204;192,23138;209,51962
195,3;80,22887;10,655428;4,098286;1;2023;160,2;81,950424;10,7982855;4,0625715;110,8;77,56312;15,855428;7,6268573;140,2;82,33836;18,74114;10,7982855;153,0;74,76332;18,905428;9,076857;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;237,7;298,6;320,9;155,63567;219,44986;219,91731;236,65541
237,7;80,83712;6,7482862;-0,30885717;1;2023;195,3;80,22887;10,655428;4,098286;160,2;81,950424;10,7982855;4,0625715;110,8;77,56312;15,855428;7,6268573;140,2;82,33836;18,74114;10,7982855;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;298,6;320,9;414,6;286,9381;283,07236;287,89062;296,88315
298,6;86,13961;2,8554287;-2,116;1;2023;237,7;80,83712;6,7482862;-0,30885717;195,3;80,22887;10,655428;4,098286;160,2;81,950424;10,7982855;4,0625715;110,8;77,56312;15,855428;7,6268573;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;320,9;414,6;347,7;251,99576;319,79404;378,03073;274,96466
320,9;91,66205;1,6911428;-2,066;1;2023;298,6;86,13961;2,8554287;-2,116;237,7;80,83712;6,7482862;-0,30885717;195,3;80,22887;10,655428;4,098286;160,2;81,950424;10,7982855;4,0625715;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;414,6;347,7;221,7;294,28384;320,59592;354,28467;396,7752
414,6;90,61055;7,091143;-0,34457144;1;2023;320,9;91,66205;1,6911428;-2,066;298,6;86,13961;2,8554287;-2,116;237,7;80,83712;6,7482862;-0,30885717;195,3;80,22887;10,655428;4,098286;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;347,7;221,7;256,4;450,92374;512,98596;410,83008;414,57837
347,7;87,08958;6,505429;0,59828573;1;2023;414,6;90,61055;7,091143;-0,34457144;320,9;91,66205;1,6911428;-2,066;298,6;86,13961;2,8554287;-2,116;237,7;80,83712;6,7482862;-0,30885717;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;221,7;256,4;296,0;484,45944;511,0797;426,20163;347,56042
221,7;83,96607;8,162572;1,734;1;2024;347,7;87,08958;6,505429;0,59828573;414,6;90,61055;7,091143;-0,34457144;320,9;91,66205;1,6911428;-2,066;298,6;86,13961;2,8554287;-2,116;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;256,4;296,0;381,0;390,85895;496,51862;419,23264;410,3051
256,4;67,43638;2,784;-5,294571;1;2024;221,7;83,96607;8,162572;1,734;347,7;87,08958;6,505429;0,59828573;414,6;90,61055;7,091143;-0,34457144;320,9;91,66205;1,6911428;-2,066;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;296,0;381,0;488,8;217,58069;222,87508;335,206;537,71124
296,0;77,32908;3,884;-3,8802855;1;2024;256,4;67,43638;2,784;-5,294571;221,7;83,96607;8,162572;1,734;347,7;87,08958;6,505429;0,59828573;414,6;90,61055;7,091143;-0,34457144;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;381,0;488,8;610,6;213,98946;255,40654;401,27585;593,552
381,0;76,349236;7,541143;-0,2588571;1;2024;296,0;77,32908;3,884;-3,8802855;256,4;67,43638;2,784;-5,294571;221,7;83,96607;8,162572;1,734;347,7;87,08958;6,505429;0,59828573;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;488,8;610,6;620,2;208,30515;244,1067;354,7591;459,87057
488,8;79,04698;9,276857;1,6054286;1;2024;381,0;76,349236;7,541143;-0,2588571;296,0;77,32908;3,884;-3,8802855;256,4;67,43638;2,784;-5,294571;221,7;83,96607;8,162572;1,734;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;610,6;620,2;579,6;416,32315;539,9799;485,66046;477,53857
610,6;72,002396;14,026857;5,976857;1;2024;488,8;79,04698;9,276857;1,6054286;381,0;76,349236;7,541143;-0,2588571;296,0;77,32908;3,884;-3,8802855;256,4;67,43638;2,784;-5,294571;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;620,2;579,6;459,8;575,0835;587,8632;569,4447;434,88675
620,2;79,44901;10,898286;1,3054286;1;2024;610,6;72,002396;14,026857;5,976857;488,8;79,04698;9,276857;1,6054286;381,0;76,349236;7,541143;-0,2588571;296,0;77,32908;3,884;-3,8802855;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;579,6;459,8;385,5;565,20526;517,4644;462,0077;337,79385
579,6;79,53747;13,033999;5,534;1;2024;620,2;79,44901;10,898286;1,3054286;610,6;72,002396;14,026857;5,976857;488,8;79,04698;9,276857;1,6054286;381,0;76,349236;7,541143;-0,2588571;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;459,8;385,5;272,2;615,33655;425,59396;383,02057;313,571
459,8;86,041855;14,619714;5,3268576;1;2024;579,6;79,53747;13,033999;5,534;620,2;79,44901;10,898286;1,3054286;610,6;72,002396;14,026857;5,976857;488,8;79,04698;9,276857;1,6054286;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;385,5;272,2;240,9;472,38608;381,83508;310,14862;287,5681
385,5;80,56563;12,462571;4,634;1;2024;459,8;86,041855;14,619714;5,3268576;579,6;79,53747;13,033999;5,534;620,2;79,44901;10,898286;1,3054286;610,6;72,002396;14,026857;5,976857;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;272,2;240,9;167,3;426,64255;286,4338;232,0371;260,68195
272,2;75,49358;13,176857;4,7197146;1;2024;385,5;80,56563;12,462571;4,634;459,8;86,041855;14,619714;5,3268576;579,6;79,53747;13,033999;5,534;620,2;79,44901;10,898286;1,3054286;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;240,9;167,3;111,9;314,02325;230,10211;173,16925;136,3624
