value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
8,6;80,08982;15,282357;8,4895;1;2023;8,6;81,38609;18,410929;13,310928;12,7;79,88849;16,753786;9,810928;7,1;86,47156;16,425213;11,710929;4,5;82,23218;24,782358;15,368072;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;6,2;7,3;8,2;9,013158;9,411254;9,671196;10,225808
6,2;84,440056;13,5395;8,546643;1;2023;8,6;80,08982;15,282357;8,4895;8,6;81,38609;18,410929;13,310928;12,7;79,88849;16,753786;9,810928;7,1;86,47156;16,425213;11,710929;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;7,3;8,2;9,2;9,013158;9,517272;9,583114;11,269761
7,3;87,82769;13,896644;6,9323573;1;2023;6,2;84,440056;13,5395;8,546643;8,6;80,08982;15,282357;8,4895;8,6;81,38609;18,410929;13,310928;12,7;79,88849;16,753786;9,810928;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;8,2;9,2;10,8;7,420799;7,6264343;9,300835;10,961444
8,2;88,832436;11,482358;5,4894996;1;2023;7,3;87,82769;13,896644;6,9323573;6,2;84,440056;13,5395;8,546643;8,6;80,08982;15,282357;8,4895;8,6;81,38609;18,410929;13,310928;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;9,2;10,8;8,7;9,764149;11,998615;10,549156;12,0098505
9,2;84,57166;10,532357;5,796643;1;2023;8,2;88,832436;11,482358;5,4894996;7,3;87,82769;13,896644;6,9323573;6,2;84,440056;13,5395;8,546643;8,6;80,08982;15,282357;8,4895;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;10,8;8,7;7,5;9,576722;10,551409;10,328799;11,872781
10,8;85,22975;12,075215;7,6109285;1;2023;9,2;84,57166;10,532357;5,796643;8,2;88,832436;11,482358;5,4894996;7,3;87,82769;13,896644;6,9323573;6,2;84,440056;13,5395;8,546643;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;8,7;7,5;15,9;9,576722;10,5008;13,329386;14,197974
8,7;85,678764;10,382357;5,832357;1;2023;10,8;85,22975;12,075215;7,6109285;9,2;84,57166;10,532357;5,796643;8,2;88,832436;11,482358;5,4894996;7,3;87,82769;13,896644;6,9323573;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;7,5;15,9;15,0;13,778263;14,291191;21,83728;30,992046
7,5;89,48159;5,3395004;0,075214274;1;2023;8,7;85,678764;10,382357;5,832357;10,8;85,22975;12,075215;7,6109285;9,2;84,57166;10,532357;5,796643;8,2;88,832436;11,482358;5,4894996;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;15,9;15,0;22,5;15,253665;16,433178;25,988377;36,68918
15,9;84,33854;9,510928;4,982357;1;2023;7,5;89,48159;5,3395004;0,075214274;8,7;85,678764;10,382357;5,832357;10,8;85,22975;12,075215;7,6109285;9,2;84,57166;10,532357;5,796643;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;15,0;22,5;14,9;10,455941;15,889265;21,420431;35,378616
15,0;89,48199;10,475214;6,703786;1;2023;15,9;84,33854;9,510928;4,982357;7,5;89,48159;5,3395004;0,075214274;8,7;85,678764;10,382357;5,832357;10,8;85,22975;12,075215;7,6109285;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;22,5;14,9;28,0;20,30373;37,782814;42,601665;53,58735
22,5;85,893105;11,732358;8,560929;1;2023;15,0;89,48199;10,475214;6,703786;15,9;84,33854;9,510928;4,982357;7,5;89,48159;5,3395004;0,075214274;8,7;85,678764;10,382357;5,832357;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;14,9;28,0;31,7;22,695318;27,23223;47,751343;51,521576
14,9;83,49854;8,89575;4,84575;1;2023;22,5;85,893105;11,732358;8,560929;15,0;89,48199;10,475214;6,703786;15,9;84,33854;9,510928;4,982357;7,5;89,48159;5,3395004;0,075214274;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;28,0;31,7;28,8;26,859247;44,45997;55,583958;48,858562
28,0;91,016075;7,6109285;3,4895;1;2024;14,9;83,49854;8,89575;4,84575;22,5;85,893105;11,732358;8,560929;15,0;89,48199;10,475214;6,703786;15,9;84,33854;9,510928;4,982357;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;31,7;28,8;29,4;20,311464;30,273407;44,9705;43,717052
31,7;81,483604;5,646643;2,3323572;1;2024;28,0;91,016075;7,6109285;3,4895;14,9;83,49854;8,89575;4,84575;22,5;85,893105;11,732358;8,560929;15,0;89,48199;10,475214;6,703786;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;28,8;29,4;23,1;34,465237;46,80723;44,105873;47,2524
28,8;84,57874;5,568072;0,21807139;1;2024;31,7;81,483604;5,646643;2,3323572;28,0;91,016075;7,6109285;3,4895;14,9;83,49854;8,89575;4,84575;22,5;85,893105;11,732358;8,560929;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;29,4;23,1;17,1;31,857208;40,26351;48,121693;45,773678
29,4;80,16474;11,1037855;6,1823573;1;2024;28,8;84,57874;5,568072;0,21807139;31,7;81,483604;5,646643;2,3323572;28,0;91,016075;7,6109285;3,4895;14,9;83,49854;8,89575;4,84575;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;23,1;17,1;13,1;25,552158;30,875854;42,68171;49,500637
23,1;85,76009;10,5395;5,3037863;1;2024;29,4;80,16474;11,1037855;6,1823573;28,8;84,57874;5,568072;0,21807139;31,7;81,483604;5,646643;2,3323572;28,0;91,016075;7,6109285;3,4895;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;17,1;13,1;14,6;27,16178;28,242466;28,608528;26,596085
17,1;87,93415;8,8537855;3,5252144;1;2024;23,1;85,76009;10,5395;5,3037863;29,4;80,16474;11,1037855;6,1823573;28,8;84,57874;5,568072;0,21807139;31,7;81,483604;5,646643;2,3323572;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;13,1;14,6;10,1;23,924688;22,665976;18,822126;21,41678
13,1;88,59361;11,896644;7,268071;1;2024;17,1;87,93415;8,8537855;3,5252144;23,1;85,76009;10,5395;5,3037863;29,4;80,16474;11,1037855;6,1823573;28,8;84,57874;5,568072;0,21807139;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;14,6;10,1;12,3;16,12216;18,615437;24,809525;18,616022
14,6;82,4386;10,075215;4,525214;1;2024;13,1;88,59361;11,896644;7,268071;17,1;87,93415;8,8537855;3,5252144;23,1;85,76009;10,5395;5,3037863;29,4;80,16474;11,1037855;6,1823573;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;10,1;12,3;8,4;13,738275;17,362762;14,682295;15,323103
10,1;82,90637;8,796643;2,4752142;1;2024;14,6;82,4386;10,075215;4,525214;13,1;88,59361;11,896644;7,268071;17,1;87,93415;8,8537855;3,5252144;23,1;85,76009;10,5395;5,3037863;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;12,3;8,4;5,9;17,849272;13,665774;16,348305;39,119038
12,3;81,82176;9,318071;4,5966425;1;2024;10,1;82,90637;8,796643;2,4752142;14,6;82,4386;10,075215;4,525214;13,1;88,59361;11,896644;7,268071;17,1;87,93415;8,8537855;3,5252144;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;8,4;5,9;6,0;12,455725;12,576404;28,569307;24,107481
8,4;84,91968;12,696643;6,7323575;1;2024;12,3;81,82176;9,318071;4,5966425;10,1;82,90637;8,796643;2,4752142;14,6;82,4386;10,075215;4,525214;13,1;88,59361;11,896644;7,268071;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;5,9;6,0;6,0;19,631992;45,34611;24,656973;16,960758
5,9;77,51524;11,575215;5,8895;1;2024;8,4;84,91968;12,696643;6,7323575;12,3;81,82176;9,318071;4,5966425;10,1;82,90637;8,796643;2,4752142;14,6;82,4386;10,075215;4,525214;1,0;6,123233995736766e-17;0,992708874098054;0,120536680255323;6,0;6,0;4,5;15,280616;18,384682;13,070164;8,171278
6,0;80,35687;10,803786;4,746643;1;2024;5,9;77,51524;11,575215;5,8895;8,4;84,91968;12,696643;6,7323575;12,3;81,82176;9,318071;4,5966425;10,1;82,90637;8,796643;2,4752142;1,0;6,123233995736766e-17;1,0;-1,6081226496766366e-16;6,0;4,5;4,2;6,981819;7,130881;8,461224;7,7267127
