value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
976,5;78,29667;12,456429;7,1349998;1;2023;1041,1;77,78561;13,485001;8,435;1269,5;61,72983;18,299286;6,642143;1504,0;61,07742;10,920714;0,027857134;1848,0;64,31602;12,349286;2,7707143;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;1249,6;1153,6;1079,3;1151,3698;1435,8506;1437,3732;1576,0741
1249,6;83,114;6,8921432;2,6207142;1;2023;976,5;78,29667;12,456429;7,1349998;1041,1;77,78561;13,485001;8,435;1269,5;61,72983;18,299286;6,642143;1504,0;61,07742;10,920714;0,027857134;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;1153,6;1079,3;1032,3;1147,8695;1316,1611;1534,3701;1593,198
1153,6;82,380066;5,0064282;0,8421429;1;2023;1249,6;83,114;6,8921432;2,6207142;976,5;78,29667;12,456429;7,1349998;1041,1;77,78561;13,485001;8,435;1269,5;61,72983;18,299286;6,642143;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;1079,3;1032,3;1179,2;1309,5918;1367,0876;1436,7742;1486,4126
1079,3;86,40421;10,442143;4,863571;1;2023;1153,6;82,380066;5,0064282;0,8421429;1249,6;83,114;6,8921432;2,6207142;976,5;78,29667;12,456429;7,1349998;1041,1;77,78561;13,485001;8,435;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;1032,3;1179,2;1205,5;1159,4921;1219,0712;1383,616;1740,9213
1032,3;92,61639;7,970714;4,656429;1;2023;1079,3;86,40421;10,442143;4,863571;1153,6;82,380066;5,0064282;0,8421429;1249,6;83,114;6,8921432;2,6207142;976,5;78,29667;12,456429;7,1349998;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;1179,2;1205,5;1205,3;1171,1412;1226,7185;1494,8076;1739,0461
1179,2;85,2798;1,4992857;-1,6435715;1;2023;1032,3;92,61639;7,970714;4,656429;1079,3;86,40421;10,442143;4,863571;1153,6;82,380066;5,0064282;0,8421429;1249,6;83,114;6,8921432;2,6207142;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;1205,5;1205,3;1514,7;1154,3849;1299,2499;1554,0477;1772,4656
1205,5;85,07762;-0,7221428;-4,9435716;1;2023;1179,2;85,2798;1,4992857;-1,6435715;1032,3;92,61639;7,970714;4,656429;1079,3;86,40421;10,442143;4,863571;1153,6;82,380066;5,0064282;0,8421429;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;1205,3;1514,7;1519,0;1268,2439;1382,059;1551,1256;1814,8167
1205,3;90,43286;-2,8864286;-8,029285;1;2023;1205,5;85,07762;-0,7221428;-4,9435716;1179,2;85,2798;1,4992857;-1,6435715;1032,3;92,61639;7,970714;4,656429;1079,3;86,40421;10,442143;4,863571;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;1514,7;1519,0;1357,7;1290,8214;1434,7402;1529,491;1756,3279
1514,7;89,91191;-3,9792857;-7,4364285;1;2023;1205,3;90,43286;-2,8864286;-8,029285;1205,5;85,07762;-0,7221428;-4,9435716;1179,2;85,2798;1,4992857;-1,6435715;1032,3;92,61639;7,970714;4,656429;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;1519,0;1357,7;1100,7;1294,473;1442,5825;1544,7759;1706,6226
1519,0;92,7757;1,9564285;-1,8149999;1;2023;1514,7;89,91191;-3,9792857;-7,4364285;1205,3;90,43286;-2,8864286;-8,029285;1205,5;85,07762;-0,7221428;-4,9435716;1179,2;85,2798;1,4992857;-1,6435715;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;1357,7;1100,7;1016,2;1478,1412;1515,2156;1583,9607;1809,9851
1357,7;91,504585;2,8778572;-0,050714254;1;2023;1519,0;92,7757;1,9564285;-1,8149999;1514,7;89,91191;-3,9792857;-7,4364285;1205,3;90,43286;-2,8864286;-8,029285;1205,5;85,07762;-0,7221428;-4,9435716;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;1100,7;1016,2;1128,5;1400,0757;1346,4822;1582,3026;1851,2781
1100,7;88,969215;2,60375;-1,69;1;2023;1357,7;91,504585;2,8778572;-0,050714254;1519,0;92,7757;1,9564285;-1,8149999;1514,7;89,91191;-3,9792857;-7,4364285;1205,3;90,43286;-2,8864286;-8,029285;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;1016,2;1128,5;1246,3;1273,5441;1292,5215;1541,6545;1823,1742
1016,2;68,19779;-10,143571;-17,09357;1;2024;1100,7;88,969215;2,60375;-1,69;1357,7;91,504585;2,8778572;-0,050714254;1519,0;92,7757;1,9564285;-1,8149999;1514,7;89,91191;-3,9792857;-7,4364285;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;1128,5;1246,3;1346,2;1208,5417;1342,1604;1627,1311;1915,846
1128,5;84,08788;0,042142846;-5,0435715;1;2024;1016,2;68,19779;-10,143571;-17,09357;1100,7;88,969215;2,60375;-1,69;1357,7;91,504585;2,8778572;-0,050714254;1519,0;92,7757;1,9564285;-1,8149999;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;1246,3;1346,2;1419,6;1200,1105;1276,8495;1551,6083;1618,9941
1246,3;86,14768;-2,0292857;-7,8650002;1;2024;1128,5;84,08788;0,042142846;-5,0435715;1016,2;68,19779;-10,143571;-17,09357;1100,7;88,969215;2,60375;-1,69;1357,7;91,504585;2,8778572;-0,050714254;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;1346,2;1419,6;1412,7;1227,4835;1529,5021;1583,9153;1836,7457
1346,2;89,30706;2,4492857;-1,0078571;1;2024;1246,3;86,14768;-2,0292857;-7,8650002;1128,5;84,08788;0,042142846;-5,0435715;1016,2;68,19779;-10,143571;-17,09357;1100,7;88,969215;2,60375;-1,69;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;1419,6;1412,7;1413,3;1412,6664;1533,4681;1610,8542;1785,2688
