value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
11,3;78,29667;12,456429;7,1349998;1;2023;6,6;77,78561;13,485001;8,435;0,0;61,72983;18,299286;6,642143;0,0;61,07742;10,920714;0,027857134;40,2;64,31602;12,349286;2,7707143;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;8,6;11,3;15,3;8,476735;10,133949;5,981049;8,563154
8,6;83,114;6,8921432;2,6207142;1;2023;11,3;78,29667;12,456429;7,1349998;6,6;77,78561;13,485001;8,435;0,0;61,72983;18,299286;6,642143;0,0;61,07742;10,920714;0,027857134;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;11,3;15,3;23,5;7,4859166;9,391445;15,229204;21,36465
11,3;82,380066;5,0064282;0,8421429;1;2023;8,6;83,114;6,8921432;2,6207142;11,3;78,29667;12,456429;7,1349998;6,6;77,78561;13,485001;8,435;0,0;61,72983;18,299286;6,642143;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;15,3;23,5;26,4;8,588902;11,167616;18,430374;27,654255
15,3;86,40421;10,442143;4,863571;1;2023;11,3;82,380066;5,0064282;0,8421429;8,6;83,114;6,8921432;2,6207142;11,3;78,29667;12,456429;7,1349998;6,6;77,78561;13,485001;8,435;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;23,5;26,4;23,6;9,932338;14,158566;17,798708;27,17798
23,5;92,61639;7,970714;4,656429;1;2023;15,3;86,40421;10,442143;4,863571;11,3;82,380066;5,0064282;0,8421429;8,6;83,114;6,8921432;2,6207142;11,3;78,29667;12,456429;7,1349998;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;26,4;23,6;18,4;13,397558;11,167616;10,152491;49,53831
26,4;85,2798;1,4992857;-1,6435715;1;2023;23,5;92,61639;7,970714;4,656429;15,3;86,40421;10,442143;4,863571;11,3;82,380066;5,0064282;0,8421429;8,6;83,114;6,8921432;2,6207142;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;23,6;18,4;21,2;18,247124;21,67433;57,449886;118,98897
23,6;85,07762;-0,7221428;-4,9435716;1;2023;26,4;85,2798;1,4992857;-1,6435715;23,5;92,61639;7,970714;4,656429;15,3;86,40421;10,442143;4,863571;11,3;82,380066;5,0064282;0,8421429;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;18,4;21,2;43,0;30,89248;39,32999;92,55048;120,692314
18,4;90,43286;-2,8864286;-8,029285;1;2023;23,6;85,07762;-0,7221428;-4,9435716;26,4;85,2798;1,4992857;-1,6435715;23,5;92,61639;7,970714;4,656429;15,3;86,40421;10,442143;4,863571;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;21,2;43,0;47,1;27,487871;44,57004;118,95555;232,24579
21,2;89,91191;-3,9792857;-7,4364285;1;2023;18,4;90,43286;-2,8864286;-8,029285;23,6;85,07762;-0,7221428;-4,9435716;26,4;85,2798;1,4992857;-1,6435715;23,5;92,61639;7,970714;4,656429;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;43,0;47,1;62,2;55,27853;82,79241;134,66728;297,24515
43,0;92,7757;1,9564285;-1,8149999;1;2023;21,2;89,91191;-3,9792857;-7,4364285;18,4;90,43286;-2,8864286;-8,029285;23,6;85,07762;-0,7221428;-4,9435716;26,4;85,2798;1,4992857;-1,6435715;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;47,1;62,2;77,6;73,32779;62,097736;162,98824;246,35428
47,1;91,504585;2,8778572;-0,050714254;1;2023;43,0;92,7757;1,9564285;-1,8149999;21,2;89,91191;-3,9792857;-7,4364285;18,4;90,43286;-2,8864286;-8,029285;23,6;85,07762;-0,7221428;-4,9435716;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;62,2;77,6;153,9;113,937;214,7874;360,6698;276,4149
62,2;88,969215;2,60375;-1,69;1;2023;47,1;91,504585;2,8778572;-0,050714254;43,0;92,7757;1,9564285;-1,8149999;21,2;89,91191;-3,9792857;-7,4364285;18,4;90,43286;-2,8864286;-8,029285;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;77,6;153,9;256,5;75,02211;189,53842;200,03322;203,45473
77,6;68,19779;-10,143571;-17,09357;1;2024;62,2;88,969215;2,60375;-1,69;47,1;91,504585;2,8778572;-0,050714254;43,0;92,7757;1,9564285;-1,8149999;21,2;89,91191;-3,9792857;-7,4364285;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;153,9;256,5;442,3;109,11255;179,5748;299,5852;343,91785
153,9;84,08788;0,042142846;-5,0435715;1;2024;77,6;68,19779;-10,143571;-17,09357;62,2;88,969215;2,60375;-1,69;47,1;91,504585;2,8778572;-0,050714254;43,0;92,7757;1,9564285;-1,8149999;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;256,5;442,3;479,7;151,47447;259,00348;367,934;442,8987
256,5;86,14768;-2,0292857;-7,8650002;1;2024;153,9;84,08788;0,042142846;-5,0435715;77,6;68,19779;-10,143571;-17,09357;62,2;88,969215;2,60375;-1,69;47,1;91,504585;2,8778572;-0,050714254;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;442,3;479,7;519,9;303,48923;534,3085;489,89102;403,18433
442,3;89,30706;2,4492857;-1,0078571;1;2024;256,5;86,14768;-2,0292857;-7,8650002;153,9;84,08788;0,042142846;-5,0435715;77,6;68,19779;-10,143571;-17,09357;62,2;88,969215;2,60375;-1,69;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;479,7;519,9;530,7;386,40955;499,69897;341,16687;292,25864
479,7;84,51093;3,9064286;-0,43642855;1;2024;442,3;89,30706;2,4492857;-1,0078571;256,5;86,14768;-2,0292857;-7,8650002;153,9;84,08788;0,042142846;-5,0435715;77,6;68,19779;-10,143571;-17,09357;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;519,9;530,7;467,2;382,84833;318,00134;244,9582;120,27914
519,9;83,19142;-1,3435715;-4,886429;1;2024;479,7;84,51093;3,9064286;-0,43642855;442,3;89,30706;2,4492857;-1,0078571;256,5;86,14768;-2,0292857;-7,8650002;153,9;84,08788;0,042142846;-5,0435715;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;530,7;467,2;442,0;341,15775;221,33536;180,6289;133,81894
530,7;90,455124;3,3278573;-1,0721428;1;2024;519,9;83,19142;-1,3435715;-4,886429;479,7;84,51093;3,9064286;-0,43642855;442,3;89,30706;2,4492857;-1,0078571;256,5;86,14768;-2,0292857;-7,8650002;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;467,2;442,0;330,0;259,98444;260,8337;204,4702;196,46446
467,2;85,99925;5,8707147;0,84928566;1;2024;530,7;90,455124;3,3278573;-1,0721428;519,9;83,19142;-1,3435715;-4,886429;479,7;84,51093;3,9064286;-0,43642855;442,3;89,30706;2,4492857;-1,0078571;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;442,0;330,0;253,8;257,72098;280,0356;177,48604;102,55044
442,0;88,429184;6,6064286;0,4564286;1;2024;467,2;85,99925;5,8707147;0,84928566;530,7;90,455124;3,3278573;-1,0721428;519,9;83,19142;-1,3435715;-4,886429;479,7;84,51093;3,9064286;-0,43642855;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;330,0;253,8;144,5;218,83826;186,49596;120,78397;43,8626
330,0;76,2784;3,385;-3,3792858;1;2024;442,0;88,429184;6,6064286;0,4564286;467,2;85,99925;5,8707147;0,84928566;530,7;90,455124;3,3278573;-1,0721428;519,9;83,19142;-1,3435715;-4,886429;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;253,8;144,5;110,3;220,09311;183,76517;110,59517;54,775738
253,8;76,058365;7,5350003;1,6778572;1;2024;330,0;76,2784;3,385;-3,3792858;442,0;88,429184;6,6064286;0,4564286;467,2;85,99925;5,8707147;0,84928566;530,7;90,455124;3,3278573;-1,0721428;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;144,5;110,3;64,0;183,50354;125,467926;82,128075;29,88641
