value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
21,3;82,72898;16,647358;11,618785;1;2023;19,7;79,32932;18,875929;14,3545;19,7;80,63002;20,968784;13,547357;16,0;82,06623;18,697357;12,897357;13,1;81,35313;21,397356;13,611643;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;27,9;19,7;35,3;23,143223;26,541948;23,981613;22,409071
27,9;85,57638;14,111643;8,383071;1;2023;21,3;82,72898;16,647358;11,618785;19,7;79,32932;18,875929;14,3545;19,7;80,63002;20,968784;13,547357;16,0;82,06623;18,697357;12,897357;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;19,7;35,3;33,4;22,71058;25,378716;24,115543;21,681068
19,7;90,5021;12,5545;8,797358;1;2023;27,9;85,57638;14,111643;8,383071;21,3;82,72898;16,647358;11,618785;19,7;79,32932;18,875929;14,3545;19,7;80,63002;20,968784;13,547357;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;35,3;33,4;44,1;28,61861;26,286293;29,162382;24,151077
35,3;86,3946;11,918786;8,418786;1;2023;19,7;90,5021;12,5545;8,797358;27,9;85,57638;14,111643;8,383071;21,3;82,72898;16,647358;11,618785;19,7;79,32932;18,875929;14,3545;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;33,4;44,1;45,9;25,032368;27,193253;23,179115;22,92191
33,4;86,92617;10,933072;6,3402143;1;2023;35,3;86,3946;11,918786;8,418786;19,7;90,5021;12,5545;8,797358;27,9;85,57638;14,111643;8,383071;21,3;82,72898;16,647358;11,618785;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;44,1;45,9;37,9;30,578697;25,287891;31,942652;31,554146
44,1;87,492874;11,640215;7,0759287;1;2023;33,4;86,92617;10,933072;6,3402143;35,3;86,3946;11,918786;8,418786;19,7;90,5021;12,5545;8,797358;27,9;85,57638;14,111643;8,383071;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;45,9;37,9;49,1;28,395103;26,342033;31,097553;30,251314
45,9;83,6171;9,2045;4,7402143;1;2023;44,1;87,492874;11,640215;7,0759287;33,4;86,92617;10,933072;6,3402143;35,3;86,3946;11,918786;8,418786;19,7;90,5021;12,5545;8,797358;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;37,9;49,1;60,3;33,17822;33,409645;39,172;35,40023
37,9;89,91352;2,8402143;-1,5455;1;2023;45,9;83,6171;9,2045;4,7402143;44,1;87,492874;11,640215;7,0759287;33,4;86,92617;10,933072;6,3402143;35,3;86,3946;11,918786;8,418786;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;49,1;60,3;49,5;40,640522;47,318893;45,68464;62,17909
49,1;88,437195;7,0902143;2,9259286;1;2023;37,9;89,91352;2,8402143;-1,5455;45,9;83,6171;9,2045;4,7402143;44,1;87,492874;11,640215;7,0759287;33,4;86,92617;10,933072;6,3402143;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;60,3;49,5;27,5;39,529003;46,99023;52,11312;34,83099
60,3;90,1473;9,3045;5,2116427;1;2023;49,1;88,437195;7,0902143;2,9259286;37,9;89,91352;2,8402143;-1,5455;45,9;83,6171;9,2045;4,7402143;44,1;87,492874;11,640215;7,0759287;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;49,5;27,5;42,7;64,50501;67,133644;72,92609;59,061916
49,5;84,840416;10,768785;7,668786;1;2023;60,3;90,1473;9,3045;5,2116427;49,1;88,437195;7,0902143;2,9259286;37,9;89,91352;2,8402143;-1,5455;45,9;83,6171;9,2045;4,7402143;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;27,5;42,7;54,5;73,65332;66,79238;48,272152;44,32227
27,5;82,587944;10,1545;5,842;1;2023;49,5;84,840416;10,768785;7,668786;60,3;90,1473;9,3045;5,2116427;49,1;88,437195;7,0902143;2,9259286;37,9;89,91352;2,8402143;-1,5455;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;42,7;54,5;66,9;37,20229;51,9759;51,59913;33,548943
42,7;86,325745;6,3830714;3,2402146;1;2024;27,5;82,587944;10,1545;5,842;49,5;84,840416;10,768785;7,668786;60,3;90,1473;9,3045;5,2116427;49,1;88,437195;7,0902143;2,9259286;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;54,5;66,9;73,7;34,952038;53,719387;49,755775;44,245895
54,5;79,458084;3,1116428;-1,1097857;1;2024;42,7;86,325745;6,3830714;3,2402146;27,5;82,587944;10,1545;5,842;49,5;84,840416;10,768785;7,668786;60,3;90,1473;9,3045;5,2116427;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;66,9;73,7;73,7;56,491127;53,953133;59,579025;64,71432
66,9;75,50871;4,8259287;-0,47407144;1;2024;54,5;79,458084;3,1116428;-1,1097857;42,7;86,325745;6,3830714;3,2402146;27,5;82,587944;10,1545;5,842;49,5;84,840416;10,768785;7,668786;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;73,7;73,7;68,6;61,769646;69,982834;78,905655;56,61694
73,7;82,13462;9,990214;4,0259285;1;2024;66,9;75,50871;4,8259287;-0,47407144;54,5;79,458084;3,1116428;-1,1097857;42,7;86,325745;6,3830714;3,2402146;27,5;82,587944;10,1545;5,842;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;73,7;68,6;55,1;82,40575;88,51658;75,7675;64,44229
73,7;87,0974;9,9545;6,3616433;1;2024;73,7;82,13462;9,990214;4,0259285;66,9;75,50871;4,8259287;-0,47407144;54,5;79,458084;3,1116428;-1,1097857;42,7;86,325745;6,3830714;3,2402146;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;68,6;55,1;48,8;76,4989;69,659355;52,25555;36,924065
68,6;88,273;9,425929;4,6830716;1;2024;73,7;87,0974;9,9545;6,3616433;73,7;82,13462;9,990214;4,0259285;66,9;75,50871;4,8259287;-0,47407144;54,5;79,458084;3,1116428;-1,1097857;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;55,1;48,8;41,4;66,16808;54,16374;38,967304;46,86969
55,1;89,286156;11,590215;7,2473574;1;2024;68,6;88,273;9,425929;4,6830716;73,7;87,0974;9,9545;6,3616433;73,7;82,13462;9,990214;4,0259285;66,9;75,50871;4,8259287;-0,47407144;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;48,8;41,4;39,7;47,87194;36,655743;31,939974;43,108852
48,8;87,37774;9,1545;4,547357;1;2024;55,1;89,286156;11,590215;7,2473574;68,6;88,273;9,425929;4,6830716;73,7;87,0974;9,9545;6,3616433;73,7;82,13462;9,990214;4,0259285;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;41,4;39,7;26,8;45,914997;40,401966;43,363808;45,186386
41,4;83,05959;10,240214;4,6473575;1;2024;48,8;87,37774;9,1545;4,547357;55,1;89,286156;11,590215;7,2473574;68,6;88,273;9,425929;4,6830716;73,7;87,0974;9,9545;6,3616433;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;39,7;26,8;23,3;53,82256;51,647705;42,630764;45,951077
39,7;80,026474;10,340215;3,3259284;1;2024;41,4;83,05959;10,240214;4,6473575;48,8;87,37774;9,1545;4,547357;55,1;89,286156;11,590215;7,2473574;68,6;88,273;9,425929;4,6830716;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;26,8;23,3;21,9;35,77241;39,49824;29,837105;28,073586
26,8;83,38312;12,740214;6,818786;1;2024;39,7;80,026474;10,340215;3,3259284;41,4;83,05959;10,240214;4,6473575;48,8;87,37774;9,1545;4,547357;55,1;89,286156;11,590215;7,2473574;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;23,3;21,9;16,6;31,407713;30,799837;29,332056;22,916164
23,3;84,29006;10,9545;6,0616426;1;2024;26,8;83,38312;12,740214;6,818786;39,7;80,026474;10,340215;3,3259284;41,4;83,05959;10,240214;4,6473575;48,8;87,37774;9,1545;4,547357;1,0;6,123233995736766e-17;0,992708874098054;0,120536680255323;21,9;16,6;18,2;31,887508;31,607508;22,651155;20,528553
21,9;76,403496;12,590215;5,640214;1;2024;23,3;84,29006;10,9545;6,0616426;26,8;83,38312;12,740214;6,818786;39,7;80,026474;10,340215;3,3259284;41,4;83,05959;10,240214;4,6473575;1,0;6,123233995736766e-17;1,0;-1,6081226496766366e-16;16,6;18,2;17,9;24,981173;24,598932;25,554686;20,759539
16,6;80,26178;16,140215;9,9545;1;2024;21,9;76,403496;12,590215;5,640214;23,3;84,29006;10,9545;6,0616426;26,8;83,38312;12,740214;6,818786;39,7;80,026474;10,340215;3,3259284;0,8660254037844387;-0,4999999999999998;0,992708874098054;-0,12053668025532288;18,2;17,9;8,4;19,892658;16,4958;17,293423;14,428285
18,2;76,0329;14,575929;9,468786;1;2024;16,6;80,26178;16,140215;9,9545;21,9;76,403496;12,590215;5,640214;23,3;84,29006;10,9545;6,0616426;26,8;83,38312;12,740214;6,818786;0,8660254037844387;-0,4999999999999998;0,9709418174260521;-0,2393156642875575;17,9;8,4;7,1;16,571043;11,665901;14,775261;11,095306
17,9;76,88862;9,633072;4,047357;1;2024;18,2;76,0329;14,575929;9,468786;16,6;80,26178;16,140215;9,9545;21,9;76,403496;12,590215;5,640214;23,3;84,29006;10,9545;6,0616426;0,8660254037844387;-0,4999999999999998;0,9350162426854148;-0,35460488704253545;8,4;7,1;7,1;15,621224;16,30579;17,098423;12,558228
8,4;75,34054;12,633072;4,168786;1;2024;17,9;76,88862;9,633072;4,047357;18,2;76,0329;14,575929;9,468786;16,6;80,26178;16,140215;9,9545;21,9;76,403496;12,590215;5,640214;0,8660254037844387;-0,4999999999999998;0,8854560256532099;-0,4647231720437685;7,1;7,1;10,4;17,666067;16,206667;17,310272;14,973467
7,1;80,65198;18,58307;10,011642;1;2024;8,4;75,34054;12,633072;4,168786;17,9;76,88862;9,633072;4,047357;18,2;76,0329;14,575929;9,468786;16,6;80,26178;16,140215;9,9545;0,49999999999999994;-0,8660254037844387;0,8229838658936565;-0,5680647467311557;7,1;10,4;3,7;11,757054;12,555762;11,680221;13,945785
7,1;77,64453;19,040213;10,047357;1;2024;7,1;80,65198;18,58307;10,011642;8,4;75,34054;12,633072;4,168786;17,9;76,88862;9,633072;4,047357;18,2;76,0329;14,575929;9,468786;0,49999999999999994;-0,8660254037844387;0,7485107481711013;-0,663122658240795;10,4;3,7;9,8;9,145771;11,989544;10,082325;13,856804
10,4;81,39864;20,690214;12,440214;1;2024;7,1;77,64453;19,040213;10,047357;7,1;80,65198;18,58307;10,011642;8,4;75,34054;12,633072;4,168786;17,9;76,88862;9,633072;4,047357;0,49999999999999994;-0,8660254037844387;0,6631226582407952;-0,7485107481711012;3,7;9,8;8,2;7,584832;6,5596814;6,524077;7,6424203
3,7;84,60069;18,668787;12,190214;1;2024;10,4;81,39864;20,690214;12,440214;7,1;77,64453;19,040213;10,047357;7,1;80,65198;18,58307;10,011642;8,4;75,34054;12,633072;4,168786;0,49999999999999994;-0,8660254037844387;0,5680647467311558;-0,8229838658936564;9,8;8,2;6,4;9,218045;7,4839435;8,340642;8,070501
