value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
22,3;77,95943;11,087786;4,4163575;1;2023;19,3;77,099594;12,402071;4,6806426;23,0;88,14562;16,352072;9,2806425;22,3;89,19267;15,816358;9,994928;20,2;79,85511;16,059216;9,6235;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;26,1;27,7;31,2;21,344324;23,2553;24,931541;27,552177
26,1;76,00124;6,1449285;1,7020714;1;2023;22,3;77,95943;11,087786;4,4163575;19,3;77,099594;12,402071;4,6806426;23,0;88,14562;16,352072;9,2806425;22,3;89,19267;15,816358;9,994928;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;27,7;31,2;36,3;23,149788;23,844194;26,264803;29,929634
27,7;78,02345;2,966357;0,22350001;1;2023;26,1;76,00124;6,1449285;1,7020714;22,3;77,95943;11,087786;4,4163575;19,3;77,099594;12,402071;4,6806426;23,0;88,14562;16,352072;9,2806425;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;31,2;36,3;37,7;29,814072;29,714102;34,346897;41,297134
31,2;86,92773;3,366357;0,82350004;1;2023;27,7;78,02345;2,966357;0,22350001;26,1;76,00124;6,1449285;1,7020714;22,3;77,95943;11,087786;4,4163575;19,3;77,099594;12,402071;4,6806426;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;36,3;37,7;44,3;30,789778;36,47284;40,675644;46,406994
36,3;90,52666;3,4806428;0,8163572;1;2023;31,2;86,92773;3,366357;0,82350004;27,7;78,02345;2,966357;0,22350001;26,1;76,00124;6,1449285;1,7020714;22,3;77,95943;11,087786;4,4163575;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;37,7;44,3;49,1;34,705334;42,095577;45,53794;54,22446
37,7;75,79926;-1,2979286;-4,433643;1;2023;36,3;90,52666;3,4806428;0,8163572;31,2;86,92773;3,366357;0,82350004;27,7;78,02345;2,966357;0,22350001;26,1;76,00124;6,1449285;1,7020714;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;44,3;49,1;56,5;38,29055;41,94155;50,75051;64,289215
44,3;78,18244;1,3592142;-3,719357;1;2023;37,7;75,79926;-1,2979286;-4,433643;36,3;90,52666;3,4806428;0,8163572;31,2;86,92773;3,366357;0,82350004;27,7;78,02345;2,966357;0,22350001;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;49,1;56,5;64,8;38,16624;37,96522;55,040684;76,420586
49,1;71,40936;-5,040786;-9,555071;1;2023;44,3;78,18244;1,3592142;-3,719357;37,7;75,79926;-1,2979286;-4,433643;36,3;90,52666;3,4806428;0,8163572;31,2;86,92773;3,366357;0,82350004;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;56,5;64,8;63,3;46,692673;59,33359;95,252625;104,04647
56,5;84,01214;-2,9979286;-5,7336426;1;2023;49,1;71,40936;-5,040786;-9,555071;44,3;78,18244;1,3592142;-3,719357;37,7;75,79926;-1,2979286;-4,433643;36,3;90,52666;3,4806428;0,8163572;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;64,8;63,3;32,9;52,598476;80,877754;109,37683;112,7917
64,8;88,58727;-0,32650003;-7,105071;1;2023;56,5;84,01214;-2,9979286;-5,7336426;49,1;71,40936;-5,040786;-9,555071;44,3;78,18244;1,3592142;-3,719357;37,7;75,79926;-1,2979286;-4,433643;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;63,3;32,9;67,0;88,727036;89,73885;111,2084;147,46918
