value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
274,9;76,49428;15,968714;6,5187144;1;2023;219,8;74,874504;16,175858;8,925858;221,0;73,599556;22,733;12,383;204,8;75,61676;22,26157;13,368714;157,9;71,67528;24,625856;13,197287;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;316,9;332,3;301,9;235,1744;265,20084;252,37299;241,55283
316,9;85,00165;11,975858;5,1187143;1;2023;274,9;76,49428;15,968714;6,5187144;219,8;74,874504;16,175858;8,925858;221,0;73,599556;22,733;12,383;204,8;75,61676;22,26157;13,368714;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;332,3;301,9;339,8;288,81015;294,6449;284,64316;292,1528
332,3;89,680435;13,4044285;8,025857;1;2023;316,9;85,00165;11,975858;5,1187143;274,9;76,49428;15,968714;6,5187144;219,8;74,874504;16,175858;8,925858;221,0;73,599556;22,733;12,383;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;301,9;339,8;355,3;299,57455;295,32764;298,09778;289,4558
301,9;80,841606;13,111571;7,275857;1;2023;332,3;89,680435;13,4044285;8,025857;316,9;85,00165;11,975858;5,1187143;274,9;76,49428;15,968714;6,5187144;219,8;74,874504;16,175858;8,925858;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;339,8;355,3;385,7;285,89166;296,02484;310,32748;311,26724
339,8;84,022316;9,561571;4,0472856;1;2023;301,9;80,841606;13,111571;7,275857;332,3;89,680435;13,4044285;8,025857;316,9;85,00165;11,975858;5,1187143;274,9;76,49428;15,968714;6,5187144;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;355,3;385,7;786,6;287,25128;278,10446;312,0617;338,7993
355,3;89,825966;5,033;0,31157142;1;2023;339,8;84,022316;9,561571;4,0472856;301,9;80,841606;13,111571;7,275857;332,3;89,680435;13,4044285;8,025857;316,9;85,00165;11,975858;5,1187143;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;385,7;786,6;491,5;307,64825;329,2928;368,00305;426,87976
385,7;83,18237;1,9044285;-2,767;1;2023;355,3;89,825966;5,033;0,31157142;339,8;84,022316;9,561571;4,0472856;301,9;80,841606;13,111571;7,275857;332,3;89,680435;13,4044285;8,025857;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;786,6;491,5;504,7;412,4299;419,25806;452,895;562,5836
786,6;86,567276;-0,9384286;-5,581286;1;2023;385,7;83,18237;1,9044285;-2,767;355,3;89,825966;5,033;0,31157142;339,8;84,022316;9,561571;4,0472856;301,9;80,841606;13,111571;7,275857;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;491,5;504,7;344,5;433,53146;466,34912;587,537;633,85754
491,5;89,92655;-0,467;-3,817;1;2023;786,6;86,567276;-0,9384286;-5,581286;385,7;83,18237;1,9044285;-2,767;355,3;89,825966;5,033;0,31157142;339,8;84,022316;9,561571;4,0472856;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;504,7;344,5;323,5;860,36615;895,9456;821,45074;676,7631
504,7;93,59321;3,933;1,5329999;1;2023;491,5;89,92655;-0,467;-3,817;786,6;86,567276;-0,9384286;-5,581286;385,7;83,18237;1,9044285;-2,767;355,3;89,825966;5,033;0,31157142;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;344,5;323,5;383,4;535,58527;608,21783;638,1398;547,0098
344,5;83,958824;6,218714;1,7329999;1;2023;504,7;93,59321;3,933;1,5329999;491,5;89,92655;-0,467;-3,817;786,6;86,567276;-0,9384286;-5,581286;385,7;83,18237;1,9044285;-2,767;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;323,5;383,4;445,8;521,8794;557,3079;584,9998;549,9658
323,5;81,97958;7,5142503;1,8704998;1;2023;344,5;83,958824;6,218714;1,7329999;504,7;93,59321;3,933;1,5329999;491,5;89,92655;-0,467;-3,817;786,6;86,567276;-0,9384286;-5,581286;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;383,4;445,8;456,6;272,43405;249,58797;258,76932;340,71875
383,4;83,48066;0,67585725;-3,7812858;1;2024;323,5;81,97958;7,5142503;1,8704998;344,5;83,958824;6,218714;1,7329999;504,7;93,59321;3,933;1,5329999;491,5;89,92655;-0,467;-3,817;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;445,8;456,6;474,8;305,5338;298,2244;341,78253;385,32056
445,8;80,74041;-1,1098572;-5,6312857;1;2024;383,4;83,48066;0,67585725;-3,7812858;323,5;81,97958;7,5142503;1,8704998;344,5;83,958824;6,218714;1,7329999;504,7;93,59321;3,933;1,5329999;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;456,6;474,8;512,0;424,2919;453,999;566,9506;613,2158
456,6;87,827354;0,3687143;-6,0455713;1;2024;445,8;80,74041;-1,1098572;-5,6312857;383,4;83,48066;0,67585725;-3,7812858;323,5;81,97958;7,5142503;1,8704998;344,5;83,958824;6,218714;1,7329999;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;474,8;512,0;498,1;488,43356;583,96704;663,46045;610,8789
474,8;86,94993;4,7544284;0,56871426;1;2024;456,6;87,827354;0,3687143;-6,0455713;445,8;80,74041;-1,1098572;-5,6312857;383,4;83,48066;0,67585725;-3,7812858;323,5;81,97958;7,5142503;1,8704998;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;512,0;498,1;389,1;464,50323;509,0677;541,30994;522,67847
512,0;82,85032;6,7330003;2,2758572;1;2024;474,8;86,94993;4,7544284;0,56871426;456,6;87,827354;0,3687143;-6,0455713;445,8;80,74041;-1,1098572;-5,6312857;383,4;83,48066;0,67585725;-3,7812858;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;498,1;389,1;347,7;457,3929;457,51083;544,8987;528,44714
498,1;88,54279;6,911572;2,2544284;1;2024;512,0;82,85032;6,7330003;2,2758572;474,8;86,94993;4,7544284;0,56871426;456,6;87,827354;0,3687143;-6,0455713;445,8;80,74041;-1,1098572;-5,6312857;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;389,1;347,7;318,2;525,3032;600,03754;565,97473;543,44434
389,1;80,84825;8,054429;1,175857;1;2024;498,1;88,54279;6,911572;2,2544284;512,0;82,85032;6,7330003;2,2758572;474,8;86,94993;4,7544284;0,56871426;456,6;87,827354;0,3687143;-6,0455713;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;347,7;318,2;322,9;506,8482;514,92096;501,49847;400,18695
