value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
796,5;60,07145;21,63443;8,848714;1;2023;860,2;59,322365;23,198715;11,355857;952,0;44,371025;26,305859;16,320143;842,2;64,69679;28,627287;16,270144;547,5;61,393562;28,04157;16,370144;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;888,1;882,0;683,5;805,7714;824,553;770,31104;756,8795
888,1;66,557655;22,29157;8,970142;1;2023;796,5;60,07145;21,63443;8,848714;860,2;59,322365;23,198715;11,355857;952,0;44,371025;26,305859;16,320143;842,2;64,69679;28,627287;16,270144;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;882,0;683,5;658,3;798,91345;872,9331;804,02435;793,0989
882,0;68,95009;23,505857;11,327285;1;2023;888,1;66,557655;22,29157;8,970142;796,5;60,07145;21,63443;8,848714;860,2;59,322365;23,198715;11,355857;952,0;44,371025;26,305859;16,320143;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;683,5;658,3;774,5;751,20624;754,52014;794,2376;841,74054
683,5;75,61762;19,705858;10,070143;1;2023;882,0;68,95009;23,505857;11,327285;888,1;66,557655;22,29157;8,970142;796,5;60,07145;21,63443;8,848714;860,2;59,322365;23,198715;11,355857;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;658,3;774,5;820,4;771,7918;780,17487;807,8648;875,2332
658,3;75,35346;15,28443;5,134429;1;2023;683,5;75,61762;19,705858;10,070143;882,0;68,95009;23,505857;11,327285;888,1;66,557655;22,29157;8,970142;796,5;60,07145;21,63443;8,848714;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;774,5;820,4;572,9;769,03705;873,6505;871,7979;769,2071
774,5;78,487816;12,455856;3,3201427;1;2023;658,3;75,35346;15,28443;5,134429;683,5;75,61762;19,705858;10,070143;882,0;68,95009;23,505857;11,327285;888,1;66,557655;22,29157;8,970142;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;820,4;572,9;851,4;823,7479;879,6746;854,2975;771,85016
820,4;82,36356;8,720142;2,1915715;1;2023;774,5;78,487816;12,455856;3,3201427;658,3;75,35346;15,28443;5,134429;683,5;75,61762;19,705858;10,070143;882,0;68,95009;23,505857;11,327285;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;572,9;851,4;944,9;869,13885;806,40424;854,0089;861,53925
572,9;79,03456;9,020143;-0,487;1;2023;820,4;82,36356;8,720142;2,1915715;774,5;78,487816;12,455856;3,3201427;658,3;75,35346;15,28443;5,134429;683,5;75,61762;19,705858;10,070143;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;851,4;944,9;864,0;815,50397;865,1121;871,4352;919,38586
851,4;86,99941;4,4558573;-0,887;1;2023;572,9;79,03456;9,020143;-0,487;820,4;82,36356;8,720142;2,1915715;774,5;78,487816;12,455856;3,3201427;658,3;75,35346;15,28443;5,134429;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;944,9;864,0;523,6;704,0466;846,2578;859,3078;710,6141
944,9;88,226974;7,391571;-0,06557138;1;2023;851,4;86,99941;4,4558573;-0,887;572,9;79,03456;9,020143;-0,487;820,4;82,36356;8,720142;2,1915715;774,5;78,487816;12,455856;3,3201427;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;864,0;523,6;663,4;830,975;887,6852;809,33954;899,82416
864,0;81,68299;9,884428;0,363;1;2023;944,9;88,226974;7,391571;-0,06557138;851,4;86,99941;4,4558573;-0,887;572,9;79,03456;9,020143;-0,487;820,4;82,36356;8,720142;2,1915715;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;523,6;663,4;959,6;941,95056;802,63605;974,572;959,4578
523,6;80,95886;12,363;2,4129999;1;2023;864,0;81,68299;9,884428;0,363;944,9;88,226974;7,391571;-0,06557138;851,4;86,99941;4,4558573;-0,887;572,9;79,03456;9,020143;-0,487;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;663,4;959,6;1130,0;639,07196;603,4939;853,5521;914,5227
663,4;84,46788;10,312999;1,9558572;1;2024;523,6;80,95886;12,363;2,4129999;864,0;81,68299;9,884428;0,363;944,9;88,226974;7,391571;-0,06557138;851,4;86,99941;4,4558573;-0,887;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;959,6;1130,0;1100,4;732,85706;912,95764;1007,6672;841,2603
959,6;65,37587;2,7558572;-5,008428;1;2024;663,4;84,46788;10,312999;1,9558572;523,6;80,95886;12,363;2,4129999;864,0;81,68299;9,884428;0,363;944,9;88,226974;7,391571;-0,06557138;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;1130,0;1100,4;1089,9;844,236;932,17926;971,9968;793,38025
1130,0;80,50959;4,8772855;-3,7655714;1;2024;959,6;65,37587;2,7558572;-5,008428;663,4;84,46788;10,312999;1,9558572;523,6;80,95886;12,363;2,4129999;864,0;81,68299;9,884428;0,363;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;1100,4;1089,9;1083,1;974,6811;947,03375;1029,9607;973,5792
1100,4;88,144714;3,6415713;-4,965572;1;2024;1130,0;80,50959;4,8772855;-3,7655714;959,6;65,37587;2,7558572;-5,008428;663,4;84,46788;10,312999;1,9558572;523,6;80,95886;12,363;2,4129999;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;1089,9;1083,1;964,3;1150,9275;950,6841;937,50446;809,0816
1089,9;79,50039;9,034429;-1,1155714;1;2024;1100,4;88,144714;3,6415713;-4,965572;1130,0;80,50959;4,8772855;-3,7655714;959,6;65,37587;2,7558572;-5,008428;663,4;84,46788;10,312999;1,9558572;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;1083,1;964,3;871,5;999,74774;905,90643;921,8527;852,78955
