value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
0,0;60,07145;21,63443;8,848714;1;2023;0,0;59,322365;23,198715;11,355857;8,5;44,371025;26,305859;16,320143;0,0;64,69679;28,627287;16,270144;0,0;61,393562;28,04157;16,370144;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;0,0;0,5;0,7;0,96416134;0,90183944;1,4599797;1,9010862
0,0;66,557655;22,29157;8,970142;1;2023;0,0;60,07145;21,63443;8,848714;0,0;59,322365;23,198715;11,355857;8,5;44,371025;26,305859;16,320143;0,0;64,69679;28,627287;16,270144;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;0,5;0,7;0,7;0,63680524;0,98376226;0,8845438;0,5405636
0,5;68,95009;23,505857;11,327285;1;2023;0,0;66,557655;22,29157;8,970142;0,0;60,07145;21,63443;8,848714;0,0;59,322365;23,198715;11,355857;8,5;44,371025;26,305859;16,320143;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;0,7;0,7;0,7;1,4770634;1,2345501;0,42329305;0,68419325
0,7;75,61762;19,705858;10,070143;1;2023;0,5;68,95009;23,505857;11,327285;0,0;66,557655;22,29157;8,970142;0,0;60,07145;21,63443;8,848714;0,0;59,322365;23,198715;11,355857;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;0,7;0,7;1,0;0,4555861;0,65585494;0,6726541;1,1656617
0,7;75,35346;15,28443;5,134429;1;2023;0,7;75,61762;19,705858;10,070143;0,5;68,95009;23,505857;11,327285;0,0;66,557655;22,29157;8,970142;0,0;60,07145;21,63443;8,848714;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;0,7;1,0;0,2;0,93435436;0,74932534;0,8138265;0,7477949
0,7;78,487816;12,455856;3,3201427;1;2023;0,7;75,35346;15,28443;5,134429;0,7;75,61762;19,705858;10,070143;0,5;68,95009;23,505857;11,327285;0,0;66,557655;22,29157;8,970142;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;1,0;0,2;1,6;0,79458386;0,708646;0,5753164;0,7370435
1,0;82,36356;8,720142;2,1915715;1;2023;0,7;78,487816;12,455856;3,3201427;0,7;75,35346;15,28443;5,134429;0,7;75,61762;19,705858;10,070143;0,5;68,95009;23,505857;11,327285;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;0,2;1,6;0,7;0,7381867;1,5479157;1,0933399;2,7771716
0,2;79,03456;9,020143;-0,487;1;2023;1,0;82,36356;8,720142;2,1915715;0,7;78,487816;12,455856;3,3201427;0,7;75,35346;15,28443;5,134429;0,7;75,61762;19,705858;10,070143;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;1,6;0,7;3,4;0,6517066;1,4962612;1,7021283;1,1468533
1,6;86,99941;4,4558573;-0,887;1;2023;0,2;79,03456;9,020143;-0,487;1,0;82,36356;8,720142;2,1915715;0,7;78,487816;12,455856;3,3201427;0,7;75,35346;15,28443;5,134429;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;0,7;3,4;1,5;0,6136099;2,230265;1,8986038;1,3427159
0,7;88,226974;7,391571;-0,06557138;1;2023;1,6;86,99941;4,4558573;-0,887;0,2;79,03456;9,020143;-0,487;1,0;82,36356;8,720142;2,1915715;0,7;78,487816;12,455856;3,3201427;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;3,4;1,5;8,6;1,5308923;5,379363;4,339811;5,14065
3,4;81,68299;9,884428;0,363;1;2023;0,7;88,226974;7,391571;-0,06557138;1,6;86,99941;4,4558573;-0,887;0,2;79,03456;9,020143;-0,487;1,0;82,36356;8,720142;2,1915715;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;1,5;8,6;11,3;1,9027165;6,5450625;3,2214975;5,5352035
1,5;80,95886;12,363;2,4129999;1;2023;3,4;81,68299;9,884428;0,363;0,7;88,226974;7,391571;-0,06557138;1,6;86,99941;4,4558573;-0,887;0,2;79,03456;9,020143;-0,487;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;8,6;11,3;20,7;1,8162565;7,3428516;6,124648;6,7630835
8,6;84,46788;10,312999;1,9558572;1;2024;1,5;80,95886;12,363;2,4129999;3,4;81,68299;9,884428;0,363;0,7;88,226974;7,391571;-0,06557138;1,6;86,99941;4,4558573;-0,887;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;11,3;20,7;36,9;1,8236756;5,605055;4,0506296;5,258179
11,3;65,37587;2,7558572;-5,008428;1;2024;8,6;84,46788;10,312999;1,9558572;1,5;80,95886;12,363;2,4129999;3,4;81,68299;9,884428;0,363;0,7;88,226974;7,391571;-0,06557138;0,49999999999999994;0,8660254037844387;0,23931566428755774;0,970941817426052;20,7;36,9;36,6;16,551271;13,334552;13,596309;6,1198473
20,7;80,50959;4,8772855;-3,7655714;1;2024;11,3;65,37587;2,7558572;-5,008428;8,6;84,46788;10,312999;1,9558572;1,5;80,95886;12,363;2,4129999;3,4;81,68299;9,884428;0,363;0,49999999999999994;0,8660254037844387;0,3546048870425356;0,9350162426854148;36,9;36,6;33,0;16,12455;10,606788;8,972514;10,947385
36,9;88,144714;3,6415713;-4,965572;1;2024;20,7;80,50959;4,8772855;-3,7655714;11,3;65,37587;2,7558572;-5,008428;8,6;84,46788;10,312999;1,9558572;1,5;80,95886;12,363;2,4129999;0,49999999999999994;0,8660254037844387;0,4647231720437685;0,8854560256532099;36,6;33,0;24,1;11,947339;10,396389;14,982652;8,903192
36,6;79,50039;9,034429;-1,1155714;1;2024;36,9;88,144714;3,6415713;-4,965572;20,7;80,50959;4,8772855;-3,7655714;11,3;65,37587;2,7558572;-5,008428;8,6;84,46788;10,312999;1,9558572;0,8660254037844386;0,5000000000000001;0,5680647467311558;0,8229838658936564;33,0;24,1;9,8;35,35414;35,60663;10,808498;5,773113
33,0;63,362984;17,477285;6,6487145;1;2024;36,6;79,50039;9,034429;-1,1155714;36,9;88,144714;3,6415713;-4,965572;20,7;80,50959;4,8772855;-3,7655714;11,3;65,37587;2,7558572;-5,008428;0,8660254037844386;0,5000000000000001;0,6631226582407952;0,7485107481711011;24,1;9,8;6,4;37,750195;17,030985;10,512885;5,191478
24,1;82,25451;10,091571;2,3558574;1;2024;33,0;63,362984;17,477285;6,6487145;36,6;79,50039;9,034429;-1,1155714;36,9;88,144714;3,6415713;-4,965572;20,7;80,50959;4,8772855;-3,7655714;0,8660254037844386;0,5000000000000001;0,7485107481711011;0,6631226582407953;9,8;6,4;2,3;38,890278;22,10295;11,821424;5,7299895
9,8;74,86067;14,648714;3,4344287;1;2024;24,1;82,25451;10,091571;2,3558574;33,0;63,362984;17,477285;6,6487145;36,6;79,50039;9,034429;-1,1155714;36,9;88,144714;3,6415713;-4,965572;0,8660254037844386;0,5000000000000001;0,8229838658936564;0,5680647467311559;6,4;2,3;1,9;14,764638;9,884891;3,562762;6,3470464
6,4;79,329285;13,170142;3,663;1;2024;9,8;74,86067;14,648714;3,4344287;24,1;82,25451;10,091571;2,3558574;33,0;63,362984;17,477285;6,6487145;36,6;79,50039;9,034429;-1,1155714;1,0;6,123233995736766e-17;0,8854560256532099;0,4647231720437686;2,3;1,9;2,6;11,0678005;8,024144;5,25388;5,191224
2,3;72,627686;11,470143;2,5772858;1;2024;6,4;79,329285;13,170142;3,663;9,8;74,86067;14,648714;3,4344287;24,1;82,25451;10,091571;2,3558574;33,0;63,362984;17,477285;6,6487145;1,0;6,123233995736766e-17;0,9350162426854148;0,35460488704253557;1,9;2,6;1,2;5,374011;4,604021;3,8594868;4,317279
1,9;82,6551;11,841571;4,048714;1;2024;2,3;72,627686;11,470143;2,5772858;6,4;79,329285;13,170142;3,663;9,8;74,86067;14,648714;3,4344287;24,1;82,25451;10,091571;2,3558574;1,0;6,123233995736766e-17;0,970941817426052;0,23931566428755804;2,6;1,2;0,9;2,076216;1,3664324;1,4416022;1,6646134
2,6;74,11989;12,584428;1,8558571;1;2024;1,9;82,6551;11,841571;4,048714;2,3;72,627686;11,470143;2,5772858;6,4;79,329285;13,170142;3,663;9,8;74,86067;14,648714;3,4344287;1,0;6,123233995736766e-17;0,992708874098054;0,120536680255323;1,2;0,9;0,2;1,4951158;1,9464924;1,2417231;0,58118856
1,2;68,44005;21,691572;7,677285;1;2024;2,6;74,11989;12,584428;1,8558571;1,9;82,6551;11,841571;4,048714;2,3;72,627686;11,470143;2,5772858;6,4;79,329285;13,170142;3,663;1,0;6,123233995736766e-17;1,0;-1,6081226496766366e-16;0,9;0,2;0,0;1,6351547;1,7190278;0,7658246;0,5779292
0,9;59,627537;21,055859;9,263;1;2024;1,2;68,44005;21,691572;7,677285;2,6;74,11989;12,584428;1,8558571;1,9;82,6551;11,841571;4,048714;2,3;72,627686;11,470143;2,5772858;0,8660254037844387;-0,4999999999999998;0,992708874098054;-0,12053668025532288;0,2;0,0;0,0;0,85273623;1,0145992;0,5855787;0,5087848
0,2;61,85135;24,655857;10,49157;1;2024;0,9;59,627537;21,055859;9,263;1,2;68,44005;21,691572;7,677285;2,6;74,11989;12,584428;1,8558571;1,9;82,6551;11,841571;4,048714;0,8660254037844387;-0,4999999999999998;0,9709418174260521;-0,2393156642875575;0,0;0,0;0,0;0,7598728;0,39327675;0,41088152;0,119105786
0,0;78,4236;18,584429;8,870142;1;2024;0,2;61,85135;24,655857;10,49157;0,9;59,627537;21,055859;9,263;1,2;68,44005;21,691572;7,677285;2,6;74,11989;12,584428;1,8558571;0,8660254037844387;-0,4999999999999998;0,8854560256532099;-0,4647231720437685;0,0;0,0;0,7;0,40777886;0,20128113;0,065617315;0,19745667
0,0;70,59973;20,213;10,734428;1;2024;0,0;78,4236;18,584429;8,870142;0,2;61,85135;24,655857;10,49157;0,9;59,627537;21,055859;9,263;1,2;68,44005;21,691572;7,677285;0,49999999999999994;-0,8660254037844387;0,8229838658936565;-0,5680647467311557;0,0;0,7;2,4;0,12970425;0,07190693;0,10952548;0,04571488
0,0;68,15223;20,220142;10,663;1;2024;0,0;70,59973;20,213;10,734428;0,0;78,4236;18,584429;8,870142;0,2;61,85135;24,655857;10,49157;0,9;59,627537;21,055859;9,263;0,49999999999999994;-0,8660254037844387;0,7485107481711013;-0,663122658240795;0,7;2,4;2,3;0,045538437;0,09227791;0,12688832;0,072151214
0,7;65,84398;19,54157;9,691571;1;2024;0,0;68,15223;20,220142;10,663;0,0;70,59973;20,213;10,734428;0,0;78,4236;18,584429;8,870142;0,2;61,85135;24,655857;10,49157;0,49999999999999994;-0,8660254037844387;0,6631226582407952;-0,7485107481711012;2,4;2,3;2,3;0,045538437;0,12205372;0,1284705;0,023054354
2,4;58,617786;24,827286;12,962999;1;2024;0,7;65,84398;19,54157;9,691571;0,0;68,15223;20,220142;10,663;0,0;70,59973;20,213;10,734428;0,0;78,4236;18,584429;8,870142;0,49999999999999994;-0,8660254037844387;0,5680647467311558;-0,8229838658936564;2,3;2,3;0,2;0,09447404;0,15936233;0,13041282;-0,03857475
2,3;64,08585;26,748714;15,384429;0;2024;2,4;58,617786;24,827286;12,962999;0,7;65,84398;19,54157;9,691571;0,0;68,15223;20,220142;10,663;0,0;70,59973;20,213;10,734428;1,2246467991473532e-16;-1,0;0,46472317204376906;-0,8854560256532096;2,3;0,2;1,7;1,2557322;2,291448;0,63477933;0,2234127
2,3;55,651203;31,677286;18,991573;0;2024;2,3;64,08585;26,748714;15,384429;2,4;58,617786;24,827286;12,962999;0,7;65,84398;19,54157;9,691571;0,0;68,15223;20,220142;10,663;1,2246467991473532e-16;-1,0;0,35460488704253584;-0,9350162426854147;0,2;1,7;0,0;1,4939277;2,283825;0,74283314;0,20942146
0,2;58,19977;30,627285;18,691572;0;2024;2,3;55,651203;31,677286;18,991573;2,3;64,08585;26,748714;15,384429;2,4;58,617786;24,827286;12,962999;0,7;65,84398;19,54157;9,691571;1,2246467991473532e-16;-1,0;0,23931566428755768;-0,970941817426052;1,7;0,0;0,0;1,3498609;1,1756033;0,68288827;0,3416079
1,7;50,10968;33,277287;20,691572;0;2024;0,2;58,19977;30,627285;18,691572;2,3;55,651203;31,677286;18,991573;2,3;64,08585;26,748714;15,384429;2,4;58,617786;24,827286;12,962999;1,2246467991473532e-16;-1,0;0,12053668025532308;-0,992708874098054;0,0;0,0;0,0;0,66270375;0,50970036;0,20421422;0,239965
0,0;47,903748;32,513;20,155857;0;2024;1,7;50,10968;33,277287;20,691572;0,2;58,19977;30,627285;18,691572;2,3;55,651203;31,677286;18,991573;2,3;64,08585;26,748714;15,384429;1,2246467991473532e-16;-1,0;-3,216245299353273e-16;-1,0;0,0;0,0;0,0;1,0351863;1,0070907;0,66668034;0,33745027
0,0;48,936893;31,570143;19,527287;0;2024;0,0;47,903748;32,513;20,155857;1,7;50,10968;33,277287;20,691572;0,2;58,19977;30,627285;18,691572;2,3;55,651203;31,677286;18,991573;-0,4999999999999997;-0,8660254037844388;-0,12053668025532283;-0,992708874098054;0,0;0,0;0,0;0,660567;0,5558304;0,19936754;0,17612976
0,0;37,608303;37,470146;22,941572;0;2024;0,0;48,936893;31,570143;19,527287;0,0;47,903748;32,513;20,155857;1,7;50,10968;33,277287;20,691572;0,2;58,19977;30,627285;18,691572;-0,4999999999999997;-0,8660254037844388;-0,23931566428755743;-0,9709418174260521;0,0;0,0;0,0;0,22620982;0,33653793;0,12675641;0,1568197
0,0;48,946106;35,098717;23,698715;0;2024;0,0;37,608303;37,470146;22,941572;0,0;48,936893;31,570143;19,527287;0,0;47,903748;32,513;20,155857;1,7;50,10968;33,277287;20,691572;-0,4999999999999997;-0,8660254037844388;-0,3546048870425356;-0,9350162426854148;0,0;0,0;0,2;0,7038773;0,11182315;0,20315254;1,8105314
0,0;62,455772;30,948713;20,027287;0;2024;0,0;48,946106;35,098717;23,698715;0,0;37,608303;37,470146;22,941572;0,0;48,936893;31,570143;19,527287;0,0;47,903748;32,513;20,155857;-0,4999999999999997;-0,8660254037844388;-0,46472317204376806;-0,8854560256532101;0,0;0,2;0,0;0,34594795;0,11182315;2,4600358;1,7594022
0,0;41,59244;32,355858;20,870144;0;2024;0,0;62,455772;30,948713;20,027287;0,0;48,946106;35,098717;23,698715;0,0;37,608303;37,470146;22,941572;0,0;48,936893;31,570143;19,527287;-0,8660254037844385;-0,5000000000000004;-0,5680647467311556;-0,8229838658936566;0,2;0,0;0,0;0,087557815;2,877105;1,8776006;0,12618609
0,2;57,209545;31,441572;19,070143;0;2024;0,0;41,59244;32,355858;20,870144;0,0;62,455772;30,948713;20,027287;0,0;48,946106;35,098717;23,698715;0,0;37,608303;37,470146;22,941572;-0,8660254037844385;-0,5000000000000004;-0,663122658240795;-0,7485107481711013;0,0;0,0;0,0;1,0216142;2,877105;0,20315254;0,12618609
0,0;44,781593;35,248714;21,93443;0;2024;0,2;57,209545;31,441572;19,070143;0,0;41,59244;32,355858;20,870144;0,0;62,455772;30,948713;20,027287;0,0;48,946106;35,098717;23,698715;-0,8660254037844385;-0,5000000000000004;-0,7485107481711011;-0,6631226582407952;0,0;0,0;0,0;0,7632246;0,11182315;0,20315254;0,12519982
0,0;39,282925;34,477287;21,655857;0;2024;0,0;44,781593;35,248714;21,93443;0,2;57,209545;31,441572;19,070143;0,0;41,59244;32,355858;20,870144;0,0;62,455772;30,948713;20,027287;-0,8660254037844385;-0,5000000000000004;-0,8229838658936564;-0,5680647467311559;0,0;0,0;0,0;0,031218575;0,09417298;0,18056488;1,8667396
0,0;57,1138;29,763;19,520144;0;2024;0,0;39,282925;34,477287;21,655857;0,0;44,781593;35,248714;21,93443;0,2;57,209545;31,441572;19,070143;0,0;41,59244;32,355858;20,870144;-1,0;-1,8369701987210297e-16;-0,8854560256532096;-0,4647231720437691;0,0;0,0;0,0;0,34594795;0,11182315;2,4600358;4,09918
0,0;50,977833;29,441572;17,141571;0;2024;0,0;57,1138;29,763;19,520144;0,0;39,282925;34,477287;21,655857;0,0;44,781593;35,248714;21,93443;0,2;57,209545;31,441572;19,070143;-1,0;-1,8369701987210297e-16;-0,9350162426854147;-0,3546048870425359;0,0;0,0;0,0;0,031218575;2,877105;2,201016;0,25958478
0,0;68,13256;24,163;15,034429;0;2024;0,0;50,977833;29,441572;17,141571;0,0;57,1138;29,763;19,520144;0,0;39,282925;34,477287;21,655857;0,0;44,781593;35,248714;21,93443;-1,0;-1,8369701987210297e-16;-0,970941817426052;-0,23931566428755774;0,0;0,0;0,0;1,0507903;3,9913757;0,7094393;0,30735007
0,0;59,18089;23,54157;12,634428;0;2024;0,0;68,13256;24,163;15,034429;0,0;50,977833;29,441572;17,141571;0,0;57,1138;29,763;19,520144;0,0;39,282925;34,477287;21,655857;-1,0;-1,8369701987210297e-16;-0,992708874098054;-0,12053668025532357;0,0;0,0;0,2;1,0699624;1,0606129;0,42312577;1,0150613
