value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;year;lag_value_1;lag_humidity_1;lag_temp_max_1;lag_temp_min_1;lag_value_2;lag_humidity_2;lag_temp_max_2;lag_temp_min_2;lag_value_3;lag_humidity_3;lag_temp_max_3;lag_temp_min_3;lag_value_4;lag_humidity_4;lag_temp_max_4;lag_temp_min_4;month_sin;month_cos;week_sin;week_cos;week_mas_1;week_mas_2;week_mas_3;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2,2;85,18659;20,782;10,182;1;2023;0,0;80,93171;22,767714;9,324858;1,1;78,37714;23,689142;10,410571;3,3;87,30509;20,532;13,732;0,0;81,646225;24,946285;13,867715;-0,8660254037844386;0,5000000000000001;-0,9709418174260521;0,23931566428755738;1,1;2,4;4,4;2,958169;3,1141732;2,9886775;3,5136645
1,1;84,61909;17,667713;7,8677144;1;2023;2,2;85,18659;20,782;10,182;0,0;80,93171;22,767714;9,324858;1,1;78,37714;23,689142;10,410571;3,3;87,30509;20,532;13,732;-0,8660254037844386;0,5000000000000001;-0,9350162426854148;0,35460488704253557;2,4;4,4;2,3;2,8887272;2,8952582;3,1513631;3,709485
2,4;88,45624;18,274857;10,232;1;2023;1,1;84,61909;17,667713;7,8677144;2,2;85,18659;20,782;10,182;0,0;80,93171;22,767714;9,324858;1,1;78,37714;23,689142;10,410571;-0,8660254037844386;0,5000000000000001;-0,8854560256532101;0,464723172043768;4,4;2,3;3,4;2,9503844;3,2783277;3,4484887;4,155938
4,4;88,82435;14,832001;6,667714;1;2023;2,4;88,45624;18,274857;10,232;1,1;84,61909;17,667713;7,8677144;2,2;85,18659;20,782;10,182;0,0;80,93171;22,767714;9,324858;-0,5000000000000004;0,8660254037844384;-0,822983865893657;0,5680647467311548;2,3;3,4;3,5;2,9379244;3,046054;3,7943099;5,186
2,3;88,7425;12,010572;2,6177144;1;2023;4,4;88,82435;14,832001;6,667714;2,4;88,45624;18,274857;10,232;1,1;84,61909;17,667713;7,8677144;2,2;85,18659;20,782;10,182;-0,5000000000000004;0,8660254037844384;-0,7485107481711011;0,6631226582407952;3,4;3,5;0,0;5,1437316;7,941312;6,8183146;8,979162
3,4;79,30447;13,332001;2,3034286;1;2023;2,3;88,7425;12,010572;2,6177144;4,4;88,82435;14,832001;6,667714;2,4;88,45624;18,274857;10,232;1,1;84,61909;17,667713;7,8677144;-0,5000000000000004;0,8660254037844384;-0,6631226582407955;0,7485107481711007;3,5;0,0;6,7;3,517152;3,9421806;6,7165933;8,601556
3,5;81,092384;8,2748575;-2,0037143;1;2023;3,4;79,30447;13,332001;2,3034286;2,3;88,7425;12,010572;2,6177144;4,4;88,82435;14,832001;6,667714;2,4;88,45624;18,274857;10,232;-0,5000000000000004;0,8660254037844384;-0,5680647467311559;0,8229838658936564;0,0;6,7;11,7;5,071739;8,991478;11,483968;23,627941
0,0;86,98025;6,589143;-0,96085703;1;2023;3,5;81,092384;8,2748575;-2,0037143;3,4;79,30447;13,332001;2,3034286;2,3;88,7425;12,010572;2,6177144;4,4;88,82435;14,832001;6,667714;-2,4492935982947064e-16;1,0;-0,4647231720437684;0,88545602565321;6,7;11,7;26,6;6,7498136;10,896557;17,625948;33,811687
6,7;91,519104;5,1248574;-1,7108572;1;2023;0,0;86,98025;6,589143;-0,96085703;3,5;81,092384;8,2748575;-2,0037143;3,4;79,30447;13,332001;2,3034286;2,3;88,7425;12,010572;2,6177144;-2,4492935982947064e-16;1,0;-0,35460488704253595;0,9350162426854147;11,7;26,6;30,6;5,7968993;6,3088126;13,583905;20,933928
11,7;90,06286;7,174857;-1,1251428;1;2023;6,7;91,519104;5,1248574;-1,7108572;0,0;86,98025;6,589143;-0,96085703;3,5;81,092384;8,2748575;-2,0037143;3,4;79,30447;13,332001;2,3034286;-2,4492935982947064e-16;1,0;-0,2393156642875578;0,970941817426052;26,6;30,6;16,9;9,827505;20,9134;26,360983;82,41004
26,6;86,722496;8,810572;-2,368;1;2023;11,7;90,06286;7,174857;-1,1251428;6,7;91,519104;5,1248574;-1,7108572;0,0;86,98025;6,589143;-0,96085703;3,5;81,092384;8,2748575;-2,0037143;-2,4492935982947064e-16;1,0;-0,12053668025532363;0,992708874098054;30,6;16,9;46,4;20,820185;26,29462;51,186085;68,23653
30,6;89,24073;11,007;2,707;1;2023;26,6;86,722496;8,810572;-2,368;11,7;90,06286;7,174857;-1,1251428;6,7;91,519104;5,1248574;-1,7108572;0,0;86,98025;6,589143;-0,96085703;-2,4492935982947064e-16;1,0;6,432490598706546e-16;1,0;16,9;46,4;99,6;21,204811;41,018154;40,850967;55,17897
16,9;90,51597;7,7605715;1,1677142;1;2024;30,6;89,24073;11,007;2,707;26,6;86,722496;8,810572;-2,368;11,7;90,06286;7,174857;-1,1251428;6,7;91,519104;5,1248574;-1,7108572;0,49999999999999994;0,8660254037844387;0,12053668025532305;0,992708874098054;46,4;99,6;125,6;45,337387;35,564083;50,122044;57,394936
