country;model_name;horizon;feature;importance
AT;ILI;1;relative_humidity_2m;0,008081884108244853
AT;ILI;1;temperature_2m_min;0,01385233486654967
AT;ILI;1;year;0,0680903508518401
AT;ILI;1;lag_value_1;0,25356650806368214
AT;ILI;1;lag_humidity_1;0,011133678255871025
AT;ILI;1;lag_temp_max_1;0,014964385034728992
AT;ILI;1;lag_temp_min_1;0,018171395731579297
AT;ILI;1;lag_value_2;0,19266742351002944
AT;ILI;1;lag_humidity_2;0,01638783728029787
AT;ILI;1;lag_temp_max_2;0,012590063170819687
AT;ILI;1;lag_temp_min_2;0,015316842206520553
AT;ILI;1;lag_value_3;0,1466455888999844
AT;ILI;1;lag_humidity_3;0,01176025316981167
AT;ILI;1;lag_temp_max_3;0,013670232841748342
AT;ILI;1;lag_temp_min_3;0,012853198751005941
AT;ILI;1;lag_value_4;0,08898990038872964
AT;ILI;1;lag_humidity_4;0,012171120907508106
AT;ILI;1;lag_temp_max_4;0,014196914102182281
AT;ILI;1;lag_temp_min_4;0,011003485782565308
AT;ILI;1;month_cos;0,026380302161304364
AT;ILI;1;week_sin;0,01556244740516499
AT;ILI;1;week_cos;0,02194385250983123
AT;ILI;2;relative_humidity_2m;0,010650971334259098
AT;ILI;2;temperature_2m_min;0,018598122196132407
AT;ILI;2;year;0,08613002482088372
AT;ILI;2;lag_value_1;0,20022413597359728
AT;ILI;2;lag_humidity_1;0,013437210452130597
AT;ILI;2;lag_temp_max_1;0,01917320914131679
AT;ILI;2;lag_temp_min_1;0,023503349169008293
AT;ILI;2;lag_value_2;0,166791753597
AT;ILI;2;lag_humidity_2;0,017422925802664007
AT;ILI;2;lag_temp_max_2;0,017973246890083443
AT;ILI;2;lag_temp_min_2;0,017972614320928722
AT;ILI;2;lag_value_3;0,14397341007751932
AT;ILI;2;lag_humidity_3;0,01500145066302995
AT;ILI;2;lag_temp_max_3;0,01575430081902298
AT;ILI;2;lag_temp_min_3;0,013892867934494364
AT;ILI;2;lag_value_4;0,0849955913403835
AT;ILI;2;lag_humidity_4;0,015790188953387414
AT;ILI;2;lag_temp_max_4;0,020736186688821004
AT;ILI;2;lag_temp_min_4;0,01896195101733395
AT;ILI;2;month_cos;0,02858901760478177
AT;ILI;2;week_sin;0,02988665727244147
AT;ILI;2;week_cos;0,02054081393077967
AT;ILI;3;relative_humidity_2m;0,017466416974657555
AT;ILI;3;temperature_2m_min;0,019466241857988363
AT;ILI;3;year;0,08660231379605794
AT;ILI;3;lag_value_1;0,19409245113362394
AT;ILI;3;lag_humidity_1;0,015330426836507441
AT;ILI;3;lag_temp_max_1;0,01663232488465317
AT;ILI;3;lag_temp_min_1;0,02152174986716941
AT;ILI;3;lag_value_2;0,15588694505095577
AT;ILI;3;lag_humidity_2;0,02097976076796291
AT;ILI;3;lag_temp_max_2;0,015261122618631807
AT;ILI;3;lag_temp_min_2;0,016136162279221725
AT;ILI;3;lag_value_3;0,12641758419998195
AT;ILI;3;lag_humidity_3;0,020249578441089773
AT;ILI;3;lag_temp_max_3;0,02685256421963649
AT;ILI;3;lag_temp_min_3;0,02043538775059386
AT;ILI;3;lag_value_4;0,07587512987130991
AT;ILI;3;lag_humidity_4;0,023825677312404495
AT;ILI;3;lag_temp_max_4;0,036754923985605856
AT;ILI;3;lag_temp_min_4;0,02124752952859841
AT;ILI;3;month_cos;0,019265855683507725
AT;ILI;3;week_sin;0,031422560764712754
AT;ILI;3;week_cos;0,0182772921751287
AT;ILI;4;relative_humidity_2m;0,01507730396099086
AT;ILI;4;temperature_2m_min;0,020177915977204502
AT;ILI;4;year;0,10867878609978504
AT;ILI;4;lag_value_1;0,16906708990433003
AT;ILI;4;lag_humidity_1;0,02308980513881199
AT;ILI;4;lag_temp_max_1;0,019409750297590723
AT;ILI;4;lag_temp_min_1;0,015574481111608817
AT;ILI;4;lag_value_2;0,13444574127705589
AT;ILI;4;lag_humidity_2;0,023052985041967143
AT;ILI;4;lag_temp_max_2;0,022181758194346105
AT;ILI;4;lag_temp_min_2;0,022487377297363484
AT;ILI;4;lag_value_3;0,11413213706243759
AT;ILI;4;lag_humidity_3;0,021230466128748834
AT;ILI;4;lag_temp_max_3;0,028681172124904813
AT;ILI;4;lag_temp_min_3;0,027047935465966955
AT;ILI;4;lag_value_4;0,06182765426940441
AT;ILI;4;lag_humidity_4;0,023720093865097006
AT;ILI;4;lag_temp_max_4;0,045347185946967655
AT;ILI;4;lag_temp_min_4;0,04144850394695773
AT;ILI;4;month_cos;0,013550128489797721
AT;ILI;4;week_sin;0,027724068708946944
AT;ILI;4;week_cos;0,022047659689715827
BE;ARI;1;relative_humidity_2m;0,01613473741454917
BE;ARI;1;temperature_2m_max;0,060730401154801265
BE;ARI;1;temperature_2m_min;0,03192114251560457
BE;ARI;1;year;0,028201855994294665
BE;ARI;1;lag_value_1;0,3061156021787598
BE;ARI;1;lag_temp_max_1;0,06692887749686441
BE;ARI;1;lag_value_2;0,1612680356315899
BE;ARI;1;lag_value_3;0,0812301002922268
BE;ARI;1;lag_value_4;0,03193061819509775
BE;ARI;1;lag_humidity_4;0,012903568594266803
BE;ARI;1;month_cos;0,0785995548821357
BE;ARI;1;week_sin;0,02067098259682554
BE;ARI;1;week_cos;0,10336452305298369
BE;ARI;2;relative_humidity_2m;0,02650481880499248
BE;ARI;2;temperature_2m_max;0,09192992779156506
BE;ARI;2;temperature_2m_min;0,04868388265323443
BE;ARI;2;year;0,0439385185230069
BE;ARI;2;lag_value_1;0,24213198018055057
BE;ARI;2;lag_temp_max_1;0,060011894593152246
BE;ARI;2;lag_value_2;0,10528428834658732
BE;ARI;2;lag_value_3;0,05781047299234938
BE;ARI;2;lag_value_4;0,031638970357205295
BE;ARI;2;lag_humidity_4;0,020148921289161608
BE;ARI;2;month_cos;0,11601311224128304
BE;ARI;2;week_sin;0,032476523447689726
BE;ARI;2;week_cos;0,12342668877922208
BE;ARI;3;relative_humidity_2m;0,037102829717907376
BE;ARI;3;temperature_2m_max;0,09068872647055272
BE;ARI;3;temperature_2m_min;0,049464161959604805
BE;ARI;3;year;0,06251916682200455
BE;ARI;3;lag_value_1;0,15946115484703174
BE;ARI;3;lag_temp_max_1;0,05193341755539524
BE;ARI;3;lag_value_2;0,07700346981562482
BE;ARI;3;lag_value_3;0,05884846010010513
BE;ARI;3;lag_value_4;0,03893168475923745
BE;ARI;3;lag_humidity_4;0,023770409829801203
BE;ARI;3;month_cos;0,168993137909979
BE;ARI;3;week_sin;0,04266792756035797
BE;ARI;3;week_cos;0,13861545265239797
BE;ARI;4;relative_humidity_2m;0,050700013871405186
BE;ARI;4;temperature_2m_max;0,07211015063740431
BE;ARI;4;temperature_2m_min;0,03180948385397928
BE;ARI;4;year;0,0730721710317998
BE;ARI;4;lag_value_1;0,11436819102014636
BE;ARI;4;lag_temp_max_1;0,04662478556437396
BE;ARI;4;lag_value_2;0,07341967988977884
BE;ARI;4;lag_value_3;0,05643582320464992
BE;ARI;4;lag_value_4;0,0531962237146775
BE;ARI;4;lag_humidity_4;0,029821058189081227
BE;ARI;4;month_cos;0,17202614537797398
BE;ARI;4;week_sin;0,061096332233221765
BE;ARI;4;week_cos;0,1653199414115078
BE;ILI;1;relative_humidity_2m;0,007018895730630848
BE;ILI;1;temperature_2m_max;0,020777719283611346
BE;ILI;1;temperature_2m_min;0,01821719208302172
BE;ILI;1;year;0,015028178847635262
BE;ILI;1;lag_value_1;0,31871772186596803
BE;ILI;1;lag_humidity_1;0,006046433811107616
BE;ILI;1;lag_temp_max_1;0,03473326433857233
BE;ILI;1;lag_temp_min_1;0,0522409317544192
BE;ILI;1;lag_value_2;0,182950706504563
BE;ILI;1;lag_humidity_2;0,006248103108646004
BE;ILI;1;lag_temp_max_2;0,05384489698237871
BE;ILI;1;lag_value_3;0,11023530476630153
BE;ILI;1;lag_temp_max_3;0,04349398158705374
BE;ILI;1;lag_temp_min_3;0,023298252670755002
BE;ILI;1;lag_value_4;0,0682772988937846
BE;ILI;1;lag_humidity_4;0,007167096316716267
BE;ILI;1;week_sin;0,0108918553937919
BE;ILI;1;week_cos;0,02081216606104292
BE;ILI;2;relative_humidity_2m;0,011238767057837993
BE;ILI;2;temperature_2m_max;0,03819798714856496
BE;ILI;2;temperature_2m_min;0,06738887734679179
BE;ILI;2;year;0,018578580899776435
BE;ILI;2;lag_value_1;0,2548794228334183
BE;ILI;2;lag_humidity_1;0,010799651660217128
BE;ILI;2;lag_temp_max_1;0,06392495654296497
BE;ILI;2;lag_temp_min_1;0,05130653827695881
BE;ILI;2;lag_value_2;0,1474513796432129
BE;ILI;2;lag_humidity_2;0,009864664658006169
BE;ILI;2;lag_temp_max_2;0,04986084136787318
BE;ILI;2;lag_value_3;0,08550193066655547
BE;ILI;2;lag_temp_max_3;0,05973374362990078
BE;ILI;2;lag_temp_min_3;0,018565164017452458
BE;ILI;2;lag_value_4;0,04960609768089555
BE;ILI;2;lag_humidity_4;0,009792508610343352
BE;ILI;2;week_sin;0,018181745426585596
BE;ILI;2;week_cos;0,0351271425326442
BE;ILI;3;relative_humidity_2m;0,01540562495226556
BE;ILI;3;temperature_2m_max;0,07335415038738936
BE;ILI;3;temperature_2m_min;0,0755312797152391
BE;ILI;3;year;0,02453899794560927
BE;ILI;3;lag_value_1;0,20780962134509268
BE;ILI;3;lag_humidity_1;0,0181019410338735
BE;ILI;3;lag_temp_max_1;0,06724136426153862
BE;ILI;3;lag_temp_min_1;0,045058581213265655
BE;ILI;3;lag_value_2;0,09416726549362109
BE;ILI;3;lag_humidity_2;0,014528163871566462
BE;ILI;3;lag_temp_max_2;0,08483307460149052
BE;ILI;3;lag_value_3;0,05504504505945227
BE;ILI;3;lag_temp_max_3;0,06202487661880023
BE;ILI;3;lag_temp_min_3;0,01316962831283128
BE;ILI;3;lag_value_4;0,04061713602327452
