country;model_name;horizon;feature;importance
AT;ILI;1;covid;0,0
AT;ILI;1;year;0,077921264
AT;ILI;1;lag_value_1;0,5142129
AT;ILI;1;lag_temp_max_2;0,037466846
AT;ILI;1;lag_temp_max_3;0,030207623
AT;ILI;1;lag_value_4;0,032932173
AT;ILI;1;lag_humidity_4;0,08838023
AT;ILI;1;lag_temp_max_4;0,017641906
AT;ILI;1;month_sin;0,045283664
AT;ILI;1;month_cos;0,024843788
AT;ILI;1;week_sin;0,09551885
AT;ILI;1;week_cos;0,03559075
AT;ILI;2;covid;0,0
AT;ILI;2;year;0,086547606
AT;ILI;2;lag_value_1;0,40362978
AT;ILI;2;lag_temp_max_2;0,036164094
AT;ILI;2;lag_temp_max_3;0,03481856
AT;ILI;2;lag_value_4;0,04861132
AT;ILI;2;lag_humidity_4;0,05480581
AT;ILI;2;lag_temp_max_4;0,05040695
AT;ILI;2;month_sin;0,15775758
AT;ILI;2;month_cos;0,042808667
AT;ILI;2;week_sin;0,050589018
AT;ILI;2;week_cos;0,033860605
AT;ILI;3;covid;0,023557406
AT;ILI;3;year;0,13797188
AT;ILI;3;lag_value_1;0,34278855
AT;ILI;3;lag_temp_max_2;0,043430805
AT;ILI;3;lag_temp_max_3;0,06097709
AT;ILI;3;lag_value_4;0,06207462
AT;ILI;3;lag_humidity_4;0,031030882
AT;ILI;3;lag_temp_max_4;0,065808564
AT;ILI;3;month_sin;0,095283985
AT;ILI;3;month_cos;0,022432983
AT;ILI;3;week_sin;0,08237584
AT;ILI;3;week_cos;0,032267354
AT;ILI;4;covid;0,032147005
AT;ILI;4;year;0,16005808
AT;ILI;4;lag_value_1;0,23460324
AT;ILI;4;lag_temp_max_2;0,056793857
AT;ILI;4;lag_temp_max_3;0,05201519
AT;ILI;4;lag_value_4;0,05132639
AT;ILI;4;lag_humidity_4;0,02580336
AT;ILI;4;lag_temp_max_4;0,11581543
AT;ILI;4;month_sin;0,1057357
AT;ILI;4;month_cos;0,056776784
AT;ILI;4;week_sin;0,06673321
AT;ILI;4;week_cos;0,04219172
BE;ARI;1;temperature_2m_max;0,042060766
BE;ARI;1;year;0,092119046
BE;ARI;1;lag_value_1;0,27728558
BE;ARI;1;lag_temp_max_1;0,06947882
BE;ARI;1;month_cos;0,2538351
BE;ARI;1;week_sin;0,028061979
BE;ARI;1;week_cos;0,23715873
BE;ARI;2;temperature_2m_max;0,06783734
BE;ARI;2;year;0,09888582
BE;ARI;2;lag_value_1;0,26637733
BE;ARI;2;lag_temp_max_1;0,06120233
BE;ARI;2;month_cos;0,29415566
BE;ARI;2;week_sin;0,048908614
BE;ARI;2;week_cos;0,16263291
BE;ARI;3;temperature_2m_max;0,07162692
BE;ARI;3;year;0,110022
BE;ARI;3;lag_value_1;0,124298505
BE;ARI;3;lag_temp_max_1;0,05448464
BE;ARI;3;month_cos;0,4973399
BE;ARI;3;week_sin;0,042787768
BE;ARI;3;week_cos;0,09944037
BE;ARI;4;temperature_2m_max;0,058266718
BE;ARI;4;year;0,11042081
BE;ARI;4;lag_value_1;0,117104046
BE;ARI;4;lag_temp_max_1;0,02793749
BE;ARI;4;month_cos;0,45793247
BE;ARI;4;week_sin;0,065136366
BE;ARI;4;week_cos;0,16320208
BE;ILI;1;temperature_2m_max;0,008062748
BE;ILI;1;temperature_2m_min;0,010132955
BE;ILI;1;covid;0,011706414
BE;ILI;1;year;0,016784647
BE;ILI;1;lag_value_1;0,47457573
BE;ILI;1;lag_temp_max_1;0,018434979
BE;ILI;1;lag_temp_min_1;0,06256202
BE;ILI;1;lag_value_2;0,19716889
BE;ILI;1;lag_temp_max_2;0,028206382
BE;ILI;1;lag_temp_min_2;0,007058165
BE;ILI;1;lag_value_3;0,0474388
BE;ILI;1;lag_value_4;0,02971595
BE;ILI;1;lag_temp_max_4;0,010587466
BE;ILI;1;lag_temp_min_4;0,008163358
BE;ILI;1;month_sin;0,012579456
BE;ILI;1;month_cos;0,015527311
BE;ILI;1;week_sin;0,0120233195
BE;ILI;1;week_cos;0,02927144
BE;ILI;2;temperature_2m_max;0,022929017
BE;ILI;2;temperature_2m_min;0,06921751
BE;ILI;2;covid;0,026773667
BE;ILI;2;year;0,01768567
BE;ILI;2;lag_value_1;0,3435297
BE;ILI;2;lag_temp_max_1;0,04628284
BE;ILI;2;lag_temp_min_1;0,028123368
BE;ILI;2;lag_value_2;0,14019284
BE;ILI;2;lag_temp_max_2;0,019207207
BE;ILI;2;lag_temp_min_2;0,020197453
BE;ILI;2;lag_value_3;0,039394435
BE;ILI;2;lag_value_4;0,04868563
BE;ILI;2;lag_temp_max_4;0,021561293
BE;ILI;2;lag_temp_min_4;0,015209047
BE;ILI;2;month_sin;0,02142595
BE;ILI;2;month_cos;0,052639145
BE;ILI;2;week_sin;0,027945833
BE;ILI;2;week_cos;0,038999416
BE;ILI;3;temperature_2m_max;0,060884308
BE;ILI;3;temperature_2m_min;0,04806692
BE;ILI;3;covid;0,047453795
BE;ILI;3;year;0,033210296
BE;ILI;3;lag_value_1;0,26396295
BE;ILI;3;lag_temp_max_1;0,04409858
BE;ILI;3;lag_temp_min_1;0,02777065
BE;ILI;3;lag_value_2;0,06300565
BE;ILI;3;lag_temp_max_2;0,0600596
BE;ILI;3;lag_temp_min_2;0,012892266
BE;ILI;3;lag_value_3;0,043325834
BE;ILI;3;lag_value_4;0,046278153
BE;ILI;3;lag_temp_max_4;0,02175986
BE;ILI;3;lag_temp_min_4;0,02408689
BE;ILI;3;month_sin;0,037385046
BE;ILI;3;month_cos;0,053634647
